Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Sangdil,R.C.Talwar,"Dillip Kumar, Madhubala, Kuldip Kaur, Dara Singh, Leela Chitnis, Randhawa, Shammi",Romantce Drama,,1952,Debut film of Dara Singh. Adaptation of Charlotte Brontë's Jane Eyre. Music: Sajjad Hussain Lyrics: Rajendra Krishan,,
Sanskar,V. M. Vyas,"Ishwarlal, Mumtaz Shanti, Pran, Veera, Shashi Kapoor, Purnima, Murad, Sapru",Social Drama,,1952,Music: Roshan Lyrics: Shailendra,,
Sapna,Kidar Sharma,"Kishore Sahu, Bina Rai, Shakuntala, Moni Chatterjee, Hiralal, Cuckoo",Drama,,1952,Music: Shyam Babu Pathak Lyrics: Bharat Vyas,,
Saqi,H. S. Rawail,"Prem Nath, Madhubala, Gope, Mohna, Bipin Gupta, Cuckoo, Iftekhar",Costume Drama,,1952,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Sheesha,Shahid Lateef,"Nargis, Sajjan, Amar, Achala Sachdev, Zebunissa, Majnu, Anwari",Social Drama,,1952,"Music: Ghulam Mohammed Lyrics: Majrooh Sultanpuri, Shakeel Badayuni",,
Shin Shinaki Boobla Boo,P. L. Santoshi,"Ranjan, Rehana, Sadhana Bose, Goldstein, Radhakrishan, Mumtaz Ali, Tiwari",Action Comedy,,1952,Music: C. Ramchandra Lyrics: P. L. Santoshi,,
Shisham,Kishore Sharma,"Nasir Khan, Nutan, Gope, Kuldip Kaur, Cuckoo Gulab",Romance Drama,,1952,Music: Roshan Lyrics: Indeevar,,
Shiv Leela,Govind Ghanekar,"Mahipal, Ratnamala, Sumati Gupte, Shyam Kumar",Mythological,,1952,Music: Vasant Kumar Lyrics: Saraswati Kumar Deepak,,
Shiv Shakti,Jayant Desai,"Nirupa Roy, Trilok Kapoor, Jeevan, Niranjan Sharma, Vasantrao Pahelwan",Religious,,1952,Music: Avinash Vyas Lyrics: Munshi Sagar Hussain,,
Shrimati Ji,I. S. Johar,"Shyama, Nasir Khan, I S Johar, Murad, Majnu",Social Comedy,,1952,"Music: Jimmy Lyrics: Raja Mehdi Ali Khan, Hasrat Jaipuri, Shailendra",,
Sinbad Jahazi a.k.a. Sinbad The Sailor,Nanabhai Bhatt,"Ranjan, Nirupa Roy, Bhagwan, Yashodhara Katju, Jayant, Shakila, Pran, Samson",Fantasy Action,,1952,Music: Chitragupta Lyrics: Anjum Jaipuri,,
Tamasha,Phani Majumdar,"Ashok Kumar, Dev Anand, Meena Kumari, Sunalini Devi, Randhir, S. N. Banerjee, Bipin Gupta",Social Drama,,1952,"Music: Khemchand Prakash, Manna Dey, S. K. Pal Lyrics: Bharat Vyas",,
Tarang,I. C. Kapoor,"Ajit, Munawwar Sultana, Bhagwan, Manju, Jeevan, Manorama, Niranjan Sharma",Social Action,,1952,"Music: Chitragupta Lyrics: I. C. Kapoor, D. N. Madhok (1)",,
Usha Kiron,Javed Hussain,"Nimmi, Geeta Bali, Altaf, Lalita Pawar, Mazhar Khan",Drama,,1952,"Music: Hanuman Prasad Lyrics: Anjum Pilibhiti, Kamil Rashid",,
Vanraj,Mohammed Hussain,"John Cawas, Krishna Kumari, Habib, Sheikh, Vimla",Action,,1952,Music: S. B. Pathak Lyrics: Indeevar,,
Vasna,Rameshwar Thakur,"Ajit, Kaushalya, Urmila, Ranjit Roy, Paresh Bannerjee",Costume Drama,,1952,Music: Avinash Vyas Lyrics:,,
Veer Arjun,Ramchandra Thakur,"Mahipal, Trilok Kapoor, Nirupa Roy, Dulari, Suryakant, Vasant Rao, Tiwari",Mythology,,1952,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak, Pandit Indra",,
Vidyasagar,K. P. Ghose,"Utpal Dutt, Pahari Sanyal, Molina Devi, Ahindra Choudhury, Chhabi Biswas",Biopic,,1952,"Music: Umapati Seel Lyrics: Madhur, Manohar Khanna (1)",,
Vishwamitra,Baburao Painter,"Sapru, Sheela Naik, M. Kale, Sudha Apte",Mythology,,1952,Music: B. Laxman Lyrics: Manohar Khanna,,
Yatrik,Kartik Chatterjee,"Abhi Bhattacharya, Basanta Choudhury, Arundhati Devi, Maya Mukherjee",Social,,1952,Music: Pankaj Mullick Lyrics:,,
Zalzala,Paul Zills,"Dev Anand, Geeta Bali, Kishore Sahu, Sunalini Devi",Social Drama,,1952,"Music: Pankaj Mullick Lyrics: Ali Sardar Jafri, Vrajendra Gaur, Uddhav Kumar",,
Zamane Ki Hawa,Walli,"Mumtaz Shanti, Suresh, Pran, Husn Banu, Majnu",Social Melodrama,,1952,Music: Z. Sherman Lyrics:,,
Aabshar,Hasrat Luckhnavi,"Nimmi, Kuldip Kaur, Raj Kumari, Lalita Pawar, Tiwari, Iftekhar",Social,,1953,,"Music: Ghulam Haider, Bhola Shreshtha Lyrics: Qateel Shifai, Sarshar Sailani, Waheed Qureshi",
Aag Ka Dariya,Roop K. Shorey,"Karan Dewan, Prithviraj Kapoor, Meena Shorey, Johnny Walker, Shammi, Uma Dutt, Manju, Cecil",Social,,1953,,"Music: Vinod Lyrics: Aziz Kashmiri, Hasrat Jaipuri",
Aaghosh,R. D. Mathur,"Nutan, Nasir Khan, Shakila, Iftekhar, Leela Mishra, Agha, S. Nazir",Social Drama,,1953,,"Music: Roshan Lyrics: Shailendra, Indeevar, Kaif Irfani, Uddhav Kumar",
Aah,Raja Nawathe,"Raj Kapoor, Nargis, Pran, Vijya Laxmi, Leela Mishra, Rashid Khan, Mukesh",Romantic Drama,,1953,,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",
Aas,Devendra Goel,"Kamini Kaushal, Shekhar, Om Prakash, Chanda Bai, Gulab, Master Ramesh, S K Prem",Family,,1953,,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",
Akash,Manmohan Sabir,"Balraj Sahni, Nadira, Agha, Manmohan Krishan, Badri Prasad, Shammi",Social Drama,,1953,,"Music: Anil Biswas Lyrics: Satyendra, Prem Dhawan, Majrooh Sultanpuri, Manmohan Sabir",
Alif Laila,K. Amarnath,"Nimmi, Vijay Kumar, Asha Mathur, Pran Tikku, Gope, Murad, Maya Devi",Fantasy Adventure,,1953,,Music: Shyam Sunder Lyrics: Sahir Ludhianvi,
Anand Bhawan,S. M. Yusuf,"Manhar Desai, Nigar Sultana, Trilok Kapoor, Durga Khote, Tiwari",Family Drama,,1953,,"Music: Vasant Desai Lyrics: Noor Lakhnavi, Raja Mehdi Ali Khan",
Anarkali,Nandlal Jaswantlal,"Bina Rai, Pradeep Kumar, Kuldip Kaur, Mubarak, Manmohan Krishna, Ruby Myers",Historical Romantic Drama,,1953,,"Music: C. Ramchandra Lyrics: Rajendra Krishan, Shailendra",
Ansoo,Shanti Kumar,"Kamini Kaushal, Shekhar, Pran Kumkum, Amirbai Karnataki, Chaman Puri",Family Drama,,1953,,Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi,
Armaan,Fali Mistry,"Dev Anand, Madhubala, Gajanan Jagirdar, Shakila, K. N. Singh, Murad, Gulab",Drama,,1953,,Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Aurat,Bhagwan Das Varma,"Premnath, Bina Rai, Purnima, Ulhas, Hiralal, Roopmala",Costume,,1953,,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",
Baaz,Guru Dutt,"Guru Dutt, Geeta Bali, Johnny Walker, K. N. Singh, Kuldip Kaur, Yashodra Katju, Jankidas, Ruby Myers, Moolchand",Costume Drama,,1953,,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,
Babla,Agradoot,"Pahari Sanyal, Molina, Manju Dey, Asit Baran, Hiralal",Social,,1953,,Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Baghi,Anant Thakur,"Naseem Banu, Ranjan, Pran, Shammi, Mukri, Anwar Hussain, B M Vyas",Costume,,1953,,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,
Bahadur,Ratilal Punatar,"Shyama, Suresh, Amarnath, Anwar Hussain, Roopmala, Shammi",Costume Drama,,1953,,"Music: S. Mohinder Lyrics: Surjit Sethi, Raja Mehdi Ali Khan, Rajendra Krishan, Sarshar Sailani, Kunwar Mahendra Singh Bedi,",
Bahu Beti,C. L. Dheer,"Geeta Bali, Amarnath, Vijayalaxmi, Leela Mishra, Jaswant, S Nasir, Rashid Khan",Family Drama,,1953,,"Music: S. D. Batish Lyrics: Kaifi Azmi, Vishwamitra AdilParts was also among the box office success of 1953 starring Usha Kirin Dev Anand",
Bhagyawan,Datta Dharmadhikari,"Nirupa Roy, Balraj Sahni, Rattan Kumar, Radhakrishan, Yashodara Katju, Raja Nene",,,1953,,"Music: Avinash Vyas Lyrics: Neelkanth Tiwari, Ramesh Gupta, Saraswati Kumar Deepak",
Chacha Chowdhury,Raja Paranjape,"Raja Paranjape, Shashikala, Durga Khote, Dhumal, S. Banerji, Maruti, Kamal Mehra",Family Comedy,,1953,,Music: Lyrics:,
Chalis Baba Ek Chor,P. L. Santoshi,"Balraj Sahni, Kamini Kaushal, Smriti Biswas, David, Om Prakash Jagdeep, Radhakrishan",Social,,1953,,Music: S. D. Burman Lyrics: Pyarelal Santoshi,
Chandirani,P. Bhanumati,"N. T. Rama Rao, P. Bhanumathi, Amarnath, K. Rani",Costume Drama,,1953,,"The film was produced in Telugu, Tamil and Hindi languages. Music: C. R. Subburaman, M. S. Viswanathan Lyrics: Vishwamitra Adil",
Char Chand,A. Karim,"Suresh, Shyama, Sheikh Mukhtar, Bhagwan, Ghulam Rasool, Altaf, Cuckoo, Manju",Social,,1953,,Music: Naushad Lyrics: A. Karim,
Chhoti Duniya,Uday Kumar,"Uday Kumar, Leela Kumari, Asha, Moolji Khushal, Ashwin Roy, Sheela Naik",Social,,1953,,Music: Rajhans Kataria Lyrics: Bekal,
Daera,Kamal Amrohi,"Meena Kumari, Nasir Khan, Jankidas, Kumar, Nana Palsikar, Pratima Devi, Roopmala, Kammo, N. A. Ansari",Social Drama,,1953,,"Music: Jamal Sen Lyrics: Majrooh Sultanpuri, Kaif Bhopali",
Dana Paani,V. M. Vyas,"Bharat Bhushan, Meena Kumari, Chitra, Radhakrishan, Ulhas, Wasti, Veera, Shashi Kapoor",Social,,1953,,"Music: Mohan Junior Lyrics: Indeevar, Kaif Irfani",
Dard-e-Dil,Nitin Bose,"Premnath, Nimmi, Murad, Meenaxi, Nawab Mazhar, Rattan Kumar, Pratima Devi",Family Drama,,1953,,"Music: R. C. Boral Lyrics: Hasrat Jaipuri, D. N. Madhok",
Dharm Patni,Ramchandra Thakur,"Mahipal, Nirupa Roy, Durga Khote, Kumar, Gope, Yashodara Katju, Moti Sagar",Family Drama,,1953,,"Music: Jamal Sen Lyrics: Bharat Vyas, Shewan Rizvi",
Dhoon,M. Kumar,"Raj Kapoor, Nargis, Kumar, Motilal, Cuckoo, Pramila, Gulab, E Billimoria, Kamal Mehra",,,1953,,"Music: Madan Mohan Lyrics: Pyarelal Santoshi, Kaif Irfani, Bharat Vyas",
Dhuaan,R. L. Malhotra,"Balraj Sahni, Usha Kiran, Om Prakash, Jeevan, Pratima Devi, Ulhas, Jagdish Kanwal",Family Drama,,1953,,"Music: Dhaniram, Vasant Desai Lyrics: Rajendra Krishan",
Dil-E-Nadaan,A. R. Kardar,"Talat Mehmood, Shyama, Peace Kanwal, Dewan Sherar, S. N. Bannerjee, Shyam Kumar",Family Drama,,1953,,Music: Ghulam Mohammad Lyrics: Shakeel Badayuni,
Do Bigha Zameen,Bimal Roy,"Balraj Sahni, Nirupa Roy, Rattan Kumar, Murad, Jagdeep, Nana Palsikar, Nazir Hussain, Meena Kumari",Social Drama,,1953,,First film to win the Filmfare Best Movie Award. First Indian film to win the International Prize at the Cannes Film Festival. Music: Salil Choudhury Lyrics: Shailendra,
Ek Do Teen,Roop K. Shorey,"Motilal, Meena Shorey, Majnu, Yashodhara Katju, Iftekhar, Kaushalya",Comedy Romance Drama,,1953,,Music: Vinod Lyrics: Aziz Kashmiri,
Fareb,"Shaheed Latif, Ismat Chugtai","Kishore Kumar, Shakuntala Paranjpye, Lalita Pawar, Zohra Sehgal, Amar, Maya Das",Social,,1953,,Music: Anil Biswas Lyrics: Majrooh Sultanpuri,
Farmaish,B. K. Sagar,"Bharat Bhushan, Vijay Laxmi, Kuldip Kaur, Chandrashekhar Pran, Gope, Maruti",Social,,1953,,"Music: Husanlal Bhagatram Lyrics: Qamar Jalalabadi, Khawar Zaman",
Firdaus,,"Geeta Bali, Ashok Kumar, Anoop Kumar, Om Prakash, Lalita Pawar, Rama",Social Drama,,1953,,Music: Robin Chatterjee Lyrics: D. N. Madhok Shailendra,
Footpath,Zia Sarhadi,"Dilip Kumar, Meena Kumari, Kuldip Kaur, Achala Sachdev, Anwar Hussain, Jankidas, Master Romi",Social,,1953,,Music: Khayyam Lyrics: Majrooh Sultanpuri,
Gharbaar,Dinkar Patil,"Manhar Desai, Sulochana Chatterjee, Kuldip Kaur, Surendra, Shammi, Gope",Family Drama,,1953,,"Music: Vasant Prabhu Lyrics: Indeevar, D. N. Madhok Kaif Irfani",
Gul Sanobar,Aspi Irani,"Shyama, Shammi Kapoor, Agha, Rajni, Jillobai, Nazir Kashmiri, Habib, Shakur",Costume,,1953,,"Music: Bulo C Rani, Khayyam Lyrics: Kaif Irfani, Raja Mehdi Ali Khan, Nazim Panipati",
Gunah,Kidar Sharma,"Geeta Bali, Jagdev, Manorama, Vijaylaxmi, Baby Naaz, Pratima Devi, Jankidas, Pesi Patel, Bir Sakuja, Tun Tun",Family Drama,,1953,,"Music: Snehal Bhatkar, Roshan Lyrics: Kidar Sharma",
Hari Darshan,Raman B. Desai,"Sapru, Leela Chitnis, Roopa Verman, Bipin Gupta, Jankidas, Moni Chatterjee",Devotional,,1953,,"Music: Shankar Vyas Lyrics: Ramesh Chandra Pandey, Ramesh Gupta, Kishore Pandey, Saraswati Kumar Deepak",
Hazaar Raaten,Jayant Desai,"Manhar Desai, Rehana, Bipin Gupta, Agha, Cuckoo",Fantasy,,1953,,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,
Humdard,S. Bhagat,"Nimmi, Shekhar, Smriti Biswas, Shivraj, Yashodhara Katju, Gajanan Jagirdar, Rajan Kapoor",Social,,1953,,"Music: Anil Biswas Lyrics: Prem Dhawan, Majrooh Sultanpuri",
Humsafar,A. N. Bannerjee,"Dev Anand, Kalpana Kartik, Smriti Biswas, Chetan Anand, Johnny Walker, Mohan Sehgal, Krishan Dhawan",,,1953,,Music: Ali Akbar Khan Lyrics: Sahir Ludhianvi,
Husn Ka Chor,JBH Wadia,"Mahipal, Usha Kiran, Sardar Mansur, Babu Raje, B. M. Vyas, Dalpat, Lalita Kumari",Costume,,1953,,Music: Bulo C. Rani Lyrics: Raja Mehdi Ali Khan,
Jallianwalla Baag Ki Jyoti,R. S. Choudhary,"Karan Dewan, Kamlesh Kumari, Achala Sachdev, David, Roopmala, Jagdish Sethi",Historical Drama,,1953,,"Music: Anil Biswas Lyrics: Prem Dhawan, Majrooh Sultanpuri, Uddhav Kumar, Rajendra Krishan, Partau Lakhnavi",
Jeewan Jyoti,Mahesh Kaul,"Shammi Kapoor, Shashikala, Leela Mishra, Chand Usmani, Nazir Hussain, Dulari, Moni Chatterjee",Social,,1953,,Debut film of Shammi Kapoor. Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Jhamela,Bhagwan,"Geeta Bali, Bhagwan, Anwar Hussain, Badri Prasad, Sunder",Action,,1953,,Music: C. Ramachandra Lyrics: Rajendra Krishan,
Jhansi Ki Rani,Sohrab Modi,"Mehtab, Sohrab Modi, Shakila, Sapru, Mubarak, Ulhas, Nayampali",Historical,,1953,,Music: Vasant Desai Lyrics: Pandit Radheshyam,
Jungle Ka Jawahar,Homi Wadia,"Fearless Nadia, John Cawas, Pramila, Nazir, Goldstein, Shapur",Costume Action Adventure,,1953,,"Music: Madhavlal Damodar Master Lyrics: Firoz Jalandhari, Saraswati Kumar Deepak",
Khoj,Balwant Bhatt,"Shammi Kapoor, Mahipal, Lalita Kumari, Shammi, Satish, Lalita Kumari",Crime Double-role Drama,,1953,,"Music: Nisar Lyrics: Raja Mehdi Ali Khan, Hasrat Jaipuri, Anjum Jaipuri",
Ladki,M. V. Raman,"Vyjayantimala, Bharat Bhushan, Kishore Kumar Anjali Devi, Chittor V. Nagaiah, Leela Mishra, Om Prakash, Raj Mehra and Master Chhotu",Romantic Comedy,,1953,,"Music: R. Sudarsanam, Dhaniram Lyrics: Rajendra Krishan",
Laila Majnu,K. Amarnath,"Shammi Kapoor, Nutan, Begum Para, Ulhas, Rattan Kumar, Kammo, Vasti, W. M. Khan",Legend Romance,,1953,,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,
Lehren,H. S. Rawail,"Kishore Kumar, Shyama, Om Prakash, Leela Mishra, Sunder, Shakuntala Paranjpye, Bipin Gupta",Social,,1953,,Music: C. Ramchandra Lyrics: Rajendra Krishan,
Madmust,Jagdish Pant,"Nirupa Roy, Shakila, Sapru A. N. Ansari, Shashikala, Mukri",Social,,1953,,"Music: V. Balsara Lyrics: Madhukar Rajasthani, Madhuraj, Maanav, J. C. Pant",
Mahatma,Datta Dharamadhikari,"David, Madan Puri, Raja Goswami, Dixit, Gajanan Jagirdar, Raja Nene",Social,,1953,,"Music: Vasant Pawar, Ram Vadhavkar Lyrics: Ehsan Rizvi",
Malkin,O. P. Dutta,"Sajjan, Nutan, Purnima, Durga Khote, Yakub, Pran Gope, Raj Mehra",Social Drama,,1953,,Music: Roshan Lyrics: Rajendra Krishan,
Mallika Soloni,Mohammed Hussain,"Kamran, Krishna Kumari, Helen, Roopa Verman, Nazir Kashmiri, Amrit",Costume Action,,1953,,"Music: Iqbal, Krishna Dayal Lyrics: Faruk Kaiser",
Manchala,Jayant Desai,"Nirupa Roy, Manhar Desai, Krishna Kumari, Agha, Jeevan",,,1953,,Music: Chitragupta Lyrics: Raja Mehdi Ali Khan,
Mashuqa,Shanti Kumar,"Mukesh, Suraiya, Kuldip Kaur, Durga Khote, Agha, Amirbai Karnataki",Social Drama,,1953,,"Music: Roshan Lyrics: Shailendra, Qamar Jalalabadi",
Mazi Zameen,Bhalji Pendharkar,Suryakant,,,1953,,Music: Vasant Desai Lyrics:,
Mehmaan,Ramanand Sagar,"Premnath, Nimmi, Sajjan, Purnima, Bikram Kapoor",Romantic Musical,,1953,,"Music: Anil Biswas Lyrics: Uddhav Kumar, P. N. Rangeen, Raja Mehdi Ali Khan",
Naag Panchami,Ramesh Desai,"Nirupa Roy, Manhar Desai, Bipin Gupta, B. M. Vyas, Durga Khote, Heera Sawant",Mythological,,1953,,Music: Chitragupta Lyrics: Gopal Singh Nepali,
Naina,Ravindra Dave,"Abhi Bhattacharya, Geeta Bali, Leela Mishra, Ramesh Sinha, Narmada Shankar, Khairati",Social Drama,,1953,,"Music: Manna Dey, Ghulam Mohammed Lyrics: Uddhav, Anjum, Pyarelal Santoshi",
Naulakha Haar,H. S. Bhatt,"Meena Kumari, Nirupa Roy, Jeevan, Sunder, Ishwarlal, Durga Khote, Arvind Kumar",Fantasy Drama,,1953,,Music: Bhola Shreshtha Lyrics: Bharat Vyas,
Nav Durga,Babubhai Mistri,"Mahipal, Usha Kiran, Amarnath, Sulochana Chatterjee, S. N. Tripathi, Dalpat, Maruti",Devotional,,1953,,"Music: S. N. Tripathi Lyrics: Anjum Jaipuri, Rameshchandra Pandey",
Naya Ghar,D.D. Kashyap,"Geeta Bali, Shekhar, Begum Para, Jagdev, Leela Chitnis, Rattan Kumar",Family Drama,,1953,,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",
Naya Raasta,Jayant Desai,"Nirupa Roy, Manhar Desai, Krishna Kumari, Agha, Bipin Gupta",Social,,1953,,Music: Chitragupta Lyrics: Raja Mehdi Ali Khan,
Paheli Shaadi,Ram Daryani,"Bharat Bhushan, Nargis, Motilal, Gope, Leela Mishra, Manorama, Kammo",Social Family Drama,,1953,,"Music: Robin Chatterjee Lyrics: Kaif Irfani, D. N. Madhok",
Papi,Chandulal Shah,"Raj Kapoor, Nargis, Maruti, Dulari, Dulari, Amarnath, Jagdeep",Social,,1953,,"Music: S. Mohinder Lyrics: Rajendra Krishan, Raja Mehdi Ali Khan, Sarshar Sailani, Hasrat Jaipuri, Surjit Sethi, Butaram Sharma",
Parineeta,Bimal Roy,"Meena Kumari, Ashok Kumar, Asit Baran, Nazir Hussain, Pratima Devi, Badri Prasad",Social Romance,,1953,,Music: Arun Kumar Mukherjee Lyrics: Bharat Vyas,
Patita,Amiya Chakravarty,"Usha Kiron, Dev Anand, Lalita Pawar, Agha, Krishnakant, Tiwari, B. M. Vyas",Family Drama,,1953,,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri-""Yaad Kiya Dilne Kahaan Ho Tum""",
Rahi,K. A. Abbas,"Dev Anand, Nalini Jaywant, Balraj Sahni, David, Shaukat Hashmi, Rasheed, Habib",Social,,1953,,"Music: Anil Biswas Lyrics: Prem Dhawan, Dashrath Lal",
Rail Ka Dibba,P. N. Arora,"Shammi Kapoor, Madhubala, Jayant, Sajjan, Om Prakash, Cuckoo, Ram Avtar, Amar, Pratima Devi",Social Drama,,1953,,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,
Raj Mahal,Nanubhai Vakil,"Shakila, Trilok Kapoor, Murad, Ram Singh, Tun Tun, Murad, W. M. Khan",Costume Action,,1953,,"Music: Gobind Ram, G. P. Kapoor Lyrics: Munshi Dil, Nandini Mahendra",
Raj Ratan,Hiren Bose,"Abhi Bhattacharya, Kamini Kaushal, Sulochand Chatterji, Leela Chitnis, Ramesh Vyas",Drama,,1953,,Music: Neenu Majumdar Lyrics: Bharat Vyas,
Rami Dhobhan,Indu Kumar,"Nirupa Roy, P. Jairaj, Trilok Kapoor, Ranjana, Ullhas, Sapru",Devotional,,1953,,Music: Hiren Bose Lyrics: Ram Murti,
Rangila,Bhagwan,"Bhagwan, Purnima, Nazira Baburao, Indira, Badri Prasad, Vivek, Inamdar",Action,,1953,,"Music: Jamal Sen Lyrics: S. H. Bihari, Ehsan Rizvi",
Shagufa,H. S. Rawail,"Premnath, Bina Rai, Purnima, Yashodhara Katju, Rajendranath, Naaz, Bipin Gupta, Gopi Krishna, Sunder",Social Drama,,1953,,Music: C. Ramchandra Lyrics: Rajendra Krishan,
Shahenshah,Amiya Chakravarty,"Kamini Kaushal, Ranjan, Shakila, K. N. Singh, Achala Sachdev, Agha, Mukri, Cuckoo",Costume Action,,1953,,Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Shamsheer,Gyan Mukerjee,"Ashok Kumar, P. Bhanumati, Bhagwan, Mehmood, Smriti Biswas, Vasantro Pahelwan, Vishwas Kunte, Nana Palsikar",Action Drama,,1953,,"Music: Arun Kumar, Anupam Ghatak Lyrics: Vrajendra Gaur, Madhur, Nazish Sikandarpuri",
Shamsherbaaz,Noshir Engineer,"Fearless Nadia, John Cawas, Habib, Shanti Madhok, Sardar Mansur",Action Costume,,1953,,Music: Shafi Nagri,
Shikast,Ramesh Saigal,"Dilip Kumar, Nalini Jaywant, Durga Khote, Om Prakash, K. N. Singh",,,1953,,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",
Shole,B. R. Chopra,"Ashok Kumar, Bina Rai, Purnima, Jeevan, Manmohan Krishna, Mirza Musharaf, Master Romi, Naaz",Family Social Drama,,1953,,"Music: Dhaniram, Naresh Bhattacharya Lyrics: Kamil Rashid, Saraswati Kumar Deepak, Sahir Ludhianvi, Majrooh Sultanpuri",
Shuk Rambha,Dhirubhai Desai,"Nirupa Roy, Bharat Bhushan, Anjali Devi, Krishna Kumari, Raj Kumari, Niranjan Sharma, Ishwarlal, Lalita Pawar",Fantasy,,1953,,Music: Manna Dey Lyrics: Bharat Vyas,
Suhag Sindoor,Colin Pal,"Shyama, Asit Baran, Yashodara Katju, Lekha, Asit Sen",Family Drama,,1953,,"Music: Shailesh Mukherjee, Suresh Kumar Lyrics: Bharat Vyas, Suresh Tripathi",
Surang,V. Shantaram,"Vinod Kumar, Sheila Ramani, Shashikala, Keshavrao Date, Ulhas, Chandrashekhar, Vikas",Social,,1953,,Music: Shivram Krishna Lyrics: Shewan Rizvi,
Teen Batti Char Raasta,V. Shantaram,"Sandhya, Shashikala, Karan Dewan, Sheila Ramani, Smriti Biswas, Nirupa Roy, Keshavrao Date, Ishwarlal, Parshuram",Family Drama Social,,1953,,Music: Shivram Krishna Lyrics: Pyarelal Santoshi,
Thokar,Lekhraj Bhakri,"Shammi Kapoor, Shyama, Lalita Pawar, Ravindra Kapoor, Johnny Whiskey, Paro Devi",Social,,1953,,"Music: Sardar Malik Lyrics: Raja Mehdi Ali Khan, Majaz Lucknavi, Prem Dhawan",
Aar Paar,Guru Dutt,"Guru Dutt, Shyama, Johnny Walker, Jagdish Sethi, Jagdeep, Tun Tun, Bir Sakuja",Romance Drama,,1954,,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,
Adhikar,Mohan Sehgal,"Usha Kiran, Kishore Kumar, Radhakrishan, Yashodara Katju, Balam, Roopmati",Family Drama,,1954,,Music: Avinash Vyas Lyrics: Prem Dhawan,
Afreeka,K. Kant.,"Baburao Pehalwan,Krishna Kumari, Habib, Ishwar, R.S. Pawar, Madan Kapoor, Sheikh, D.N. Devesh, Parmesh, Kumar Sharma.",Action /Adventure,,1954,,Music Director: Robin Lyricist: Kumar Sharma Banvasi,
Alibaba Aur 40 Chor,Homi Wadia,"Mahipal, Shakila, B. M. Vyas, S. N. Tripathi, Sharada, Maruti Rao, Lalitha Kumari, Shalini",Fantasy,,1954,,"Music: S. N. Tripathi, Chitragupta Lyrics: Raja Mehdi Ali Khan",
Amar,Mehboob Khan,"Dilip Kumar, Madhubala, Nimmi, Jayant, Ulhas, Mukri, Murad",Social Drama,,1954,,Music: Naushad Lyrics: Shakeel Badayuni,
Amar Kirtan,K. C. Pandit,"Shahu Modak, Ameeta, Madan Puri, Kumkum, Jayant, Chand Burke, Maya Dass",Devotional,,1954,,Music: S. D. Batish Lyrics: Wali Sahab,
Ameer,Chandu,"Geeta Bali, Kamal Kapoor, Tiwari, Manju, Basant Rao, Panna Lal",Action,,1954,,"Music: Lachhiram Tamar Lyrics: Asad Bhopali, Pyarelal Santoshi, Uddhav Kumar",
Angarey,,"Nargis, Nasir Khan, Pran, Rattan Kumar, Jeevan, K. N. Singh, Gajanan Jagirdar, Baby Nanda, Paro Devi,",Costume Drama,,1954,,Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Aulad,Mohan Sehgal,"Nirupa Roy, Balraj Sahni, Usha Kiran, Radhakrishan, Haroon",Family Drama,,1954,,"Music: Sardar Malik Lyrics: Prem Dhawan, Raja Mehdi Ali Khan, Vishwamitra Adil",
Aurat Teri Yehi Kahani,Chaturbhuj Doshi,"Nirupa Roy, Bharat Bhushan, Chandrashekhar, Sulochana",Drama,,1954,,"Music: Bulo C. Rani Lyrics: Saraswati Kumar Deepak, D. N. Madhok,",
Baadbaan,Phani Majumdar,"Ashok Kumar, Meena Kumari, Dev Anand, Usha Kiran, P. Jairaj, Sheikh Mukhtar, Leela Chitnis, Mehmood",Social Drama,,1954,,"Filmfare Best Supporting Actress Award - Usha Kiran. Music: Timir Baran, S. K. Pal Lyrics: Indeevar",
Baap Beti,Bimal Roy,"Nalini Jaywant, Ranjan, Nazir Hussain, Tabassum, Nazima, Sunalini Devi, Asha Parekh",Family,,1954,,Music: Roshan Lyrics: Kavi Pradeep,
