Title,Director,Cast,Genre,Sources,Year,Music Director,Opening,Opening.1
Chhoti Bahoo,M.M. Baig,"Vikas Anand, Beena Banerjee, Bindu","Drama, Family",,1994,,,
Didi,Prakash Jha,,,,1994,,,
Dilbar,B. Krishna Rao,"Mamta Kulkarni, Rishikesh Raj, Nawaz Khan","Drama, Romance, Family",,1994,,,
Dilwale,Harry Baweja,"Ajay Devgn, Suniel Shetty, Paresh Rawal, Raveena Tandon",Romance,,1994,,,
Do Fantoosh,"Sikander Bharti, Veerendra","Sadashiv Amrapurkar, Vikas Anand, Ishita Babbar",Comedy,,1994,,,
Drohkaal,,"Om Puri, Naseeruddin Shah, Mita Vasisht",,,1994,,,
Dulaara,Vimal Kumar,"Govinda, Karishma Kapoor, Gulshan Grover",Thriller,,1994,,,
Eena Meena Deeka,David Dhawan,"Vinod Khanna, Rishi Kapoor, Juhi Chawla","Action, Crime, Comedy",,1994,,,
Ekka Raja Rani,Afzal Ahmad,"Vinod Khanna, Govinda, Ayesha Jhulka, Ashwini Bhave",,,1994,,,
Elaan,,"Akshay Kumar, Madhoo",,,1994,,,
Ganga Aur Ranga,Joginder,"Sahila Chaddha, Suresh Chatwal, Anita Chopra",Action,,1994,,,
Gangster,Dev Anand,"Mamta Kulkarni, Manu Gargi, Anita Ayoob","Action, Drama, Thriller",,1994,,,
Ghar Ki Izzat,Kalpataru,"Jeetendra, Rishi Kapoor, Anita Raj","Comedy, Romance, Musical",,1994,,,
Gopalaa,Akash Jain,"Bindu, Suresh Chatwal, Prem Chopra",,,1994,,,
Gopi Kishan,Mukesh Duggal,"Sunil Shetty, Karisma Kapoor, Shilpa Shirodkar","Action, Comedy, Crime, Drama",,1994,,,
Hanste Khelte,Bharat Rangachary,"Rahul Roy, Aparajita","Comedy, Drama",,1994,,,
Hum Aapke Hain Koun..!,Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Renuka Shahane, Reema Lagoo, Mohnish Bahl, Anupam Kher",Romance,,1994,,,
Hum Hain Bemisaal,Deepak Bahry,"Akshay Kumar, Sunil Shetty, Shilpa Shirodkar, Madhoo",,,1994,,,
Ikke Pe Ikka,Raj Sippy,"Akshay Kumar, Shanti Priya, Prithvi","Action, Comedy",,1994,,,
Insaaf Apne Lahoo Se,Latif Khan,"Shatrughan Sinha, Sanjay Dutt, Shekhar Suman","Action, Drama",,1994,,,
Insaniyat,Tony Juneja,"Amitabh Bachchan, Sunny Deol, Raveena Tandon, Chunky Pandey, Jayaprada, Sonam, Anupam Kher, Prem Chopra, Alok Nath, Aftab Shivdasani, Vinod Mehra, Nutan","Action, Crime, Drama",,1994,,,
Ishq Mein Jeena Ishq Mein Marna,Miraq Mirza,"Divya Dutta, Brij Gopal, Shafi Inamdar",Romance,,1994,,,
Jai Kishen,,"Akshay Kumar, Ayesha Jhulka",,,1994,,,
Jai Maa Karwa Chauth,Pradeep Pandit,"Master Ankit, Banjara, Kishore Anand Bhanushali","Drama, Fantasy, History",,1994,,,
Janam Se Pehle,B.R. Ishara,"Raj Babbar, Farah Naaz, Sumeet Saigal",,,1994,,,
Janta Ki Adalat,T.L.V. Prasad,"Sadashiv Amrapurkar, Asrani, Laxmikant Berde",Musical,,1994,,,
Jazbaat,Anant Balani,"Suchitra Krishnamoorthi, Rohit Roy, Reema Lagoo",Romance,,1994,,,
Juaari,Jagdish A. Sharma,"Dharmendra, Arman Kohli, Shilpa Shirodkar",Family,,1994,,,
Kabhi Haan Kabhi Naa,Kundan Shah,"Shah Rukh Khan, Naseeruddin Shah, Suchitra Krishnamoorthi",Romance,,1994,,,
Kanoon,Sushma Shiromani,"Ajay Devgn, Urmila Matondkar, Kiran Kumar, Gulshan Grover",Action,,1994,,,
Karan,Shiv Kumar,"Vindu Dara Singh, Prem Chopra, Trishna",,,1994,,,
Khudai,Johny Bakshi,"Rajesh Khanna, Madhavi, Deepika Chikhalia",Drama,,1994,,,
Khuddar,Iqbal Durrani,"Govinda, Karishma Kapoor",Action,,1994,,,
Kranti Kshetra,Raajiv Kumar,"Mithun Chakraborty, Pooja Bhatt, Harish Kumar",Action,,1994,,,
Krantiveer,Mehul Kumar,"Nana Patekar, Dimple Kapadia, Atul Agnihotri, Mamta Kulkarni","Drama, Romance",,1994,,,
Laadla,Raj Kanwar,"Anil Kapoor, Sridevi, Raveena Tandon",Drama,,1994,,,
Laqshya,Bhagwan Thakur,"Tinnu Anand, Kiran Kumar, Sujit Kumar",,,1994,,,
Madam X,Deepak Shivdasani,"Rekha, Mohsin Khan, Shakti Kapoor","Action, Crime, Drama, Thriller",,1994,,,
Madhosh,Vikram Bhatt,"Dilip Dhawan, Anjali Jatthar, Faisal Khan",,,1994,,,
Maha Shaktishaali,K. Pappu,"Dharmendra, Ayesha Jhulka, Anupam Kher",,,1994,,,
Main Khiladi Tu Anari,Sameer Malkan,"Akshay Kumar, Saif Ali Khan, Shilpa Shetty, Raageshwari","Action, Comedy",,1994,,,
Mammo,Shyam Benegal,"Farida Jalal, Surekha Sikri, Amit Phalke",Drama,,1994,,,
Mera Pyara Bharat,Rama Rao Tatineni,"Tisca Chopra, Puneet Issar, Sharad S. Kapoor",Action,,1994,,,
Mohabbat Ki Arzoo,K.C. Bokadia,"Rishi Kapoor, Zeba Bakhtiar, Rakesh Bedi, Ashwini Bhave","Action, Romance, Drama",,1994,,,
Mohra,Rajiv Rai,"Sunil Shetty, Naseeruddin Shah, Akshay Kumar, Raveena Tandon, Paresh Rawal",Action,,1994,,,
Mr. Azaad,T. Ramarao,"Anil Kapoor, Niki Aneja, Ishrat Ali","Action, Musical",,1994,,,
Naaraaz,Mahesh Bhatt,"Mithun Chakraborty, Pooja Bhatt, Sonali Bendre, Atul Agnihotri","Action, Crime, Drama",,1994,,,
Paramaatma,Bapu,"Mithun Chakraborty, Juhi Chawla, Amrish Puri","Action, Drama, Fantasy",,1994,,,
Pathreela Raasta,Ajay Kashyap,"Dimple Kapadia, Varsha Usgaonkar, Sadashiv Amrapurkar",Action,,1994,,,
Pehla Pehla Pyar,Manmohan Singh,"Rishi Kapoor, Tabu, Anupam Kher","Drama, Crime, Action, Comedy",,1994,,,
Prem Shakti,Shibu Mitra,"Govinda, Karisma Kapoor, Shakti Kapoor","Action, Drama, Fantasy, Romance",,1994,,,
Prem Yog,Rajeev Kumar,"Rishi Kapoor, Madhoo, Shammi Kapoor","Drama, Family",,1994,,,
Pyar Ka Rog,,"Ravi Behl, Bindu","Comedy, Romance",,1994,,,
Raat Ke Gunaah,,"Archana Singh, Shekhar Suman",,,1994,,,
Raja Babu,David Dhawan,"Govinda, Karishma Kspoor, Shakti Kapoor, Kader Khan, Prem Chopra, Gulshan Grover",Comedy,,1994,,,
Saajan Ka Ghar,Surendra Kumar Bohra,"Rishi Kapoor, Juhi Chawla, Deepak Tijori","Drama, Family",,1994,,,
Saboot Mangta Hain Kanoon,Suraj Prakash,"Raj Babbar, Shashi Kapoor, Amjad Khan, Anita Raj",Action,,1994,,,
Salaami,Shahrukh Sultan,"Ayub Khan, Samyukta, Roshini Jaffery",Adventure,,1994,,,
Sangdil Sanam,Shomu Mukerji,"Salman Khan, Manisha Koirala",,,1994,,,
Sholay Aur Toofan,N. Paryani,"Kiran Kumar, Raaj Premi, Damini Priya",,,1994,,,
Stuntman,Deepak Balraaj Vij,"Jackie Shroff, Avtar Singh Ahluwalia, Tinnu Anand, Ami Asthana","Action, Drama, Romance",,1994,,,
Suhaag,Kuku Kohli,"Ajay Devgn, Akshay Kumar, Nagma, Karisma Kapoor",Action,,1994,,,
Teesra Kaun?,Partho Ghosh,"Mithun Chakraborty, Chunky Pandey, Somy Ali","Comedy, Drama, Thriller",,1994,,,
Tejasvini,N. Chandra,"Deepak Malhotra, Vijayshanti, Charan Raj","Action, Drama, Family",,1994,,,
Thanedarni,Surinder Kapoor,Shikha Swaroop,,,1994,,,
The Gentleman,Mahesh Bhatt,"Juhi Chawla, Chiranjeevi",Action,,1994,,,
Triyacharitra,Basu Chatterjee,"Om Puri, Rajeshwari Sachdev, Naseeruddin Shah",Drama,,1994,,,
Two Brothers,,Juhi Chawla,,,1994,,,
Udhaar Ki Zindagi,K.V. Raju,"Jeetendra, Moushumi Chatterjee, Kajol",,,1994,,,
Ulfat Ki Nayee Manzilen,K. Ravi Shankar,"Agha, Ramesh Deo, Seema Deo",,,1994,,,
Vaade Iraade,Kalpana Bhardwaj,"Aayuush Kumar, Mamta Kulkarni, Kulbhushan Kharbanda",Social,,1994,,,
Vayu,Velu Viswanandhan,,,,1994,,,
Vijaypath,Farogh Siddique,"Ajay Devgn, Tabu, Suresh Oberoi","Romance, Drama",,1994,,,
Woh Chokri,Subhankar Ghosh,"Pallavi Joshi, Neena Gupta",Drama,,1994,,,
Yaar Gaddar,Umesh Mehra,"Saif Ali Khan, Shweta, Somy Ali",,,1994,,,
Yeh Dillagi,Naresh Malhotra,"Akshay Kumar, Saif Ali Khan, Kajol",Romance,,1994,,,
Yuhi Kabhi,Kumar Bhatia,"Tinnu Anand, Master Bhagwan, Kumar Bhatia","Comedy, Drama",,1994,,,
Zaalim,Sikander Bharti,"Akshay Kumar, Madhoo",Action,,1994,,,
Zakhmi Dil,Raju Subramanian,"Akshay Kumar, Ashwini Bhave, Ravi Kishan","Action, Romance",,1994,,,
Zamane Se Kya Darna,Bobby Raj,"Sanjay Dutt, Raveena Tandon, Alok Nath",Family,,1994,,,
Zid,Esmayeel Shroff,"Jay Mehta, Raageshwari, Mala Sinha",,,1994,,,
Guneghar,Vikram Bhatt,"Atul Agnihotri, Pooja Bhatt",,,1995,,JAN,6.0
Ab Insaf Hoga,Harish Shah,"Vikas Anand, Sahila Chaddha, Mithun Chakraborty",,,1995,,JAN,6.0
Karan Arjun,Rakesh Roshan,"Salman Khan, Shah Rukh Khan, Kajol, Mamta Kulkarni, Raakhee Gulzar, Amrish Puri, Ranjeet",Action,,1995,,JAN,13.0
Jawab,Ajay Kashyap,"Raaj Kumar, Harish Kumar, Karishma Kapoor, Prem Chopra, Mukesh Khanna",,,1995,,JAN,27.0
,,,,,1995,,FEB,1.0
Andolan,Aziz Sejawal,"Sanjay Dutt, Govinda, Mamta Kulkarni, Somy Ali",Comedy,,1995,,MAR,3.0
Surakshaa,Raju Mavani,"Sunil Shetty, Aditya Pancholi, Saif Ali Khan, Divya Dutta, Monica Bedi",,,1995,,MAR,3.0
Naajayaz,Mahesh Bhatt,"Naseeruddin Shah, Ajay Devgn, Juhi Chawla","Action, Thriller",,1995,,MAR,17.0
Baazi,Ashutosh Gowarikar,"Aamir Khan, Mamta Kulkarni",Action,,1995,,APR,14.0
Maidan-E-Jung,K. C. Bokadia,"Akshay Kumar, Karisma Kapoor",,,1995,,APR,14.0
The Don,Farogh Siddique,"Mithun Chakraborty, Sonali Bendre",Action,,1995,,APR,28.0
Prem,Satish Kaushik,"Sanjay Kapoor, Tabu, Deepak Tijori","Romance, Drama",,1995,,MAY,5.0
Droh Kaal,Govind Nihalani,"Om Puri, Naseeruddin Shah, Mita Vasisht","Crime, Drama",,1995,,MAY,5.0
Bewafa Sanam,Gulshan Kumar,"Krishna Kumar, Shilpa Shirodkar, Sagar",,,1995,,MAY,12.0
Taqdeerwala,K. Muralimohana Rao,"Venkatesh, Raveena Tandon, Asrani","Fantasy, Action, Comedy",,1995,,MAY,12.0
Janam Kundli,Tariq Shah,"Jeetendra, Vinod Khanna, Reena Roy","Action, Drama",,1995,,MAY,12.0
Policewala Gunda,Pappu Verma,"Dharmendra, Reena Roy, Mamta Kulkarni",Crime,,1995,,MAY,19.0
Raghuveer,K. Pappu,"Sunil Shetty, Shilpa Shirodkar",,,1995,,MAY,19.0
Sabse Bada Khiladi,Umesh Mehra,"Akshay Kumar, Mamta Kulkarni, Mohnish Behl","Action, Masala",,1995,,JUN,9.0
Gaddaar,Deepak Sareen,"Sunil Shetty, Harish Kumar, Sonali Bendre",,,1995,,JUN,9.0
Raja,Indra Kumar,"Sanjay Kapoor, Madhuri Dixit, Paresh Rawal, Mukesh Khanna, Dalip Tahil","Action, Romance, Drama",,1995,,JUN,23.0
Ravan Raaj: A True Story,T. Rama Rao,"Aditya Pancholi, Mithun Chakraborty, Madhoo, Sheeba, Paresh Rawal",Action,,1995,,JUN,23.0
Taaqat,Talat Jani,"Dharmendra, Shatrughan Sinha, Kajol, Farah Naaz, Vikas Bhalla","Romance, Crime",,1995,,JUN,23.0
Coolie No. 1,David Dhawan,"Govinda, Karishma Kapoor, Kader Khan, Shakti Kapoor",Comedy,,1995,,JUN,30.0
,,,,,1995,,JUN,
Takkar,Bharat Rangachary,"Naseeruddin Shah, Sunil Shetty, Sonali Bendre","Romance, Thriller",,1995,,JUL,14.0
Zamana Deewana,Ramesh Sippy,"Jeetendra, Shatrughan Sinha, Shahrukh Khan, Raveena Tandon",Comedy,,1995,,JUL,28.0
Criminal,Mahesh Bhatt,"Akkineni Nagarjuna, Manisha Koirala, Ramya Krishna, Nassar, Gulshan Grover, Sharat Babu","Action, Thriller",,1995,,AUG,4.0
Aatank Hi Aatank,Dilip Shankar,"Aamir Khan, Juhi Chawla","Action, Crime",,1995,,AUG,4.0
Hulchul,Anees Bazmee,"Vinod Khanna, Ajay Devgn, Kajol, Amrish Puri",Action,,1995,,AUG,4.0
Oh Darling! Yeh Hai India,Ketan Mehta,"Shahrukh Khan, Deepa Sahi, Jaaved Jaffrey","Musical, Parody",,1995,,AUG,11.0
Guddu,Prem Lalwani,"Shahrukh Khan, Manisha Koirala, Deepti Naval, Mukesh Khanna, Mehmood Ali","Romance, Drama",,1995,,AUG,11.0
Hum Dono,Shafi Inamdar,"Rishi Kapoor, Nana Patekar, Pooja Bhatt",,,1995,,AUG,11.0
Ahankaar,Ashim S. Samanta,"Mithun Chakraborty, Mamta Kulkarni, Mohnish Bahl, Prem Chopra",,,1995,,AUG,25.0
Veer,Kanti Shah,"Ishrat Ali, Dharmendra, Gautami",,,1995,,SEP,1.0
Rangeela,Ram Gopal Varma,"Aamir Khan, Urmila Matondkar, Jackie Shroff","Romance, Comedy",,1995,,SEP,8.0
Gundaraj,Guddu Dhanoa,"Ajay Devgn, Kajol, Amrish Puri",Action,,1995,,SEP,8.0
Jallaad,T. L. V. Prasad,"Mithun Chakraborty, Madhoo, Rambha",Action,,1995,,SEP,15.0
Kartavya,Raj Kanwar,"Sanjay Kapoor, Juhi Chawla, Aruna Irani",Action,,1995,,SEP,29.0
Veergati,K.K. Singh,"Salman Khan, Atul Agnihotri Divya Dutta",Action,,1995,,SEP,29.0
Barsaat,Rajkumar Santoshi,"Bobby Deol, Twinkle Khanna, Mukesh Khanna",Romance,,1995,,OCT,6.0
Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shahrukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Mandira Bedi",Romance,,1995,,OCT,20.0
Yaraana,David Dhawan,"Rishi Kapoor, Madhuri Dixit, Raj Babbar, Kader Khan, Shakti Kapoor",Romance,,1995,,OCT,20.0
Hum Sab Chor Hain,Ambrish Sangal,"Kamal Sadanah, Dharmendra, Jeetendra, Ritu Shivapuri, Sujata Mehta",Action,,1995,,OCT,27.0
Ram Shastra,Sanjay Gupta,"Jackie Shroff, Manisha Koirala, Dipti Bhatnagar",Action,,1995,,NOV,10.0
Angrakshak,Ravi Raja,"Sunny Deol, Pooja Bhatt, Kulbhushan Kharbanda",Action,,1995,,NOV,17.0
Akele Hum Akele Tum,Mansoor Khan,"Aamir Khan, Manisha Koirala, Tanvi Azmi",Drama,,1995,,NOV,30.0
Ram Jaane,Rajiv Mehra,"Shahrukh Khan, Juhi Chawla, Vivek Mushran","Crime, Drama",,1995,,NOV,30.0
The Gambler,Dayal Nihalani,"Govinda, Shilpa Shetty, Aditya Pancholi, Gulshan Grover",Action,,1995,,DEC,8.0
Trimurti,Mukul S. Anand,"Anil Kapoor, Shah Rukh Khan, Jackie Shroff, Priya Tendulkar, Gautami, Anjali Jathar","Action, Drama",,1995,,DEC,22.0
Haqeeqat,Kuku Kohli,"Ajay Devgn, Tabu, Aruna Irani",,,1995,,DEC,29.0
Aatank,Prem Lalwani,"Dharmendra, Girish Karnad, Nafisa Ali, Hema Malini, Amjad Khan, Kader Khan, Ravi Kishan",Action,,1996,Laxmikant–Pyarelal,,
Agni Sakshi,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala","Thriller, Drama",,1996,Nadeem-Shravan,,
Aisi Bhi Kya Jaldi Hai,Sachin Pilgaonkar,"Sachin Pilgaonkar, Vivek Mushran, Ashok Saraf, Shrishti Arya","Comedy, Romance",,1996,,,
Ajay,Suneel Darshan,"Sunny Deol, Karishma Kapoor, Reena Roy, Sharat Saxena",Action,,1996,Anand Milind,,
Angaara,Anil Ganguly,"Sadashiv Amrapurkar, Suresh Bhagwat, Hemant Birje",,,1996,,,
Apne Dam Par,Arshad Khan,"Mithun Chakraborty, Shilpa Shirodkar",,,1996,,,
Army,Jatin Thakran,"Sridevi, Danny Denzongpa, Mohnish Behl, Ronit Roy, Shahrukh Khan",Drama,,1996,Anand Milind,,
Aur Ek Prem Kahani,Balu Mahendra,"Ramesh Aravind, Heera Rajagopal, Revathy, Sudhir Ahuja, Sushma Ahuja, Akshay Anand",,,1996,,,
Aurat Aurat Aurat,K. Vishwanath,"Rekha, Vinod Mehra, Rakesh Roshan, Aruna Irani, Neeta Mehta",Drama,,1996,Laxmikant–Pyarelal,,
Bal Bramhachari,"Prakash Mehra, Beendhu Shukla","Puru Raaj Kumar, Karishma Kapoor, Deepak Tijori",,,1996,,,
Bambai Ka Babu,Vikram Bhatt,"Saif Ali Khan, Kajol, Atul Agnihotri","Action, Romance",,1996,Anand-Milind,,
Bandish,Prakash Jha,"Juhi Chawla, Guddi Maruti, Paresh Rawal","Comedy, Drama, Romance",,1996,,,
Beqabu,N. Chandra,"Sanjay Kapoor, Mamta Kulkarni, Amrish Puri","Action, Drama, Romance, Family",,1996,,,
Bhairavi,Arunaraje,"Ashwini Bhave, Sridhar, Manohar Singh","Drama, Musical, Romance",,1996,,,
Bhishma,Jagadish A. Sharma,"Mithun Chakraborty, Anjali Jathar, Vani Viswanath, Harish",Action,,1996,Dileep Sen - Sameer Sen,,
Chaahat,Mahesh Bhatt,"Shah Rukh Khan, Naseeruddin Shah, Anupam Kher, Pooja Bhatt, Ramya Krishna","Drama, Comedy, Thriller",,1996,Anu Malik,,
Chall,,Jackie Shroff,,,1996,,,
Chhota Sa Ghar,Kalpataru,"Asrani, Neelima Azim, Ajinkya Deo",,,1996,,,
Chhote Sarkar,Manoj Agarwal,"Govinda, Shilpa Shetty",Drama,,1996,Anand Milind,,
Daanveer,T.L.V. Prasad,"Mithun Chakraborty, Vikas Anand, Anusha, Asrani","Action, Crime, Drama",,1996,,,
Daraar,Abbas-Mustan,"Rishi Kapoor, Juhi Chawla, Arbaaz Khan, Johnny Lever, Sushma Seth","Drama, Thriller",,1996,Anu Malik,,
Dastak,Mahesh Bhatt,"Sharad Kapoor, Mukul Dev, Sushmita Sen, Manoj Bajpai",Thriller,,1996,Rajesh Roshan,,
Dil Tera Deewana,,"Saif Ali Khan, Twinkle Khanna","Romance, Thriller",,1996,Aadesh Shrivastava,,
Diljale,Harry Baweja,"Ajay Devgn, Sonali Bendre, Madhoo, Amrish Puri, Gulshan Grover",Action,,1996,Anu Malik,,
Duniyaa Jhukti Hai,,"Sadashiv Amrapurkar, Jamuna, Anupam Kher",,,1996,,,
Dushman Duniya Ka,Mehmood Ali,"Manzoor Ali, Laila Mehdin, Farida Jalal, Jeetendra, Shah Rukh Khan, Salman Khan",Drama,,1996,Anu Malik,,
Dushmani: A Violent Love Story,Bunty Soorma,"Sunny Deol, Jackie Shroff, Manisha Koirala","Action, Romance",,1996,,,
Ek Anari Do Khiladi,Ravi Raja,"Raveena Tandon, Balakrishna, Ramya Krishnan","Action, Romance, Drama",,1996,,,
Ek Tha Raja,Dayal Nihalani,"Sunil Shetty, Saif Ali Khan, Aditya Pancholi, Neelam Kothari",Romance,,1996,Anand Milind,,
English Babu Desi Mem,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre",Romance,,1996,Nikhil - Vinay,,
Fareb,Vikram Bhatt,"Faraaz Khan, Suman Ranganathan, Milind Gunaji",Thriller,,1996,Jatin-Lalit,,
Fire,Deepa Mehta,"Nandita Das, Shabana Azmi",Social,,1996,A. R. Rahman,,
Ghatak,Raj Kumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Amrish Puri, Om Puri, Danny Denzongpa","Action, Romance",,1996,R. D. Burman,,
Gehra Raaz,Ramesh Bedi,"Salma Agha, Raj Babbar, Jamuna",,,1996,,,
Hahakaar,Sudarshan K. Rattan,"Akshay Anand, Chandni, Neelima Azim","Action, Crime, Drama",,1996,,,
Halo,Santosh Sivan,"Benaf Dadachandji, Rajkumar Santoshi, Sahil Choujar",,,1996,,,
Hasina Aur Nagina,Gautam Bhatia,"Sadashiv Amrapurkar, Jagdeep, Kiran Kumar",,,1996,,,
Himmat,Sunil Sharma,"Sunny Deol, Shilpa Shetty, Tabu",Action,,1996,Anand Milind,,
Himmatvar,Talat Jani,"Arun Bakshi, Gajendra Chouhan, Dharmendra",Action,,1996,,,
Hukumnama,B.R. Ishara,"Amjad Khan, Mukesh Khanna, Rajat Kumar",,,1996,,,
Hum Hain Khalnayak,R. Thakur,"Arjun, Rajni Bala, Kishore Anand Bhanushali",Action,,1996,,,
Hum Hain Premi,Ajay Dixit,"Mahesh Anand, Tinnu Anand, Bindu",Romance,,1996,,,
Is Raat Ki Subah Nahin,Sudhir Mishra,"Tara Deshpande, Akhil Mishra, Smriti Mishra",,,1996,,,
Jaan,Raj Kanwar,"Ajay Devgn, Twinkle Khanna, Amrish Puri","Action, Romance",,1996,,,
Jagannath,,"Sangeeta Bijlani, Mukesh Khanna, Rami Reddy",Action,,1996,,,
Jay Baba Pashupatinath,Satish Kumar,"Shyam Awasthi, Rajdev Jamudhale, Sudhanshu Joshi",,,1996,,,
Jeet,Raj Kanwar,"Sunny Deol, Tabu, Karisma Kapoor, Salman Khan",Drama,,1996,Nadeem-Shravan,,
Jung,T. Rama Rao,"Ajay Devgn, Mithun Chakraborty, Sujata Mehta, Rambha",,,1996,,,
Jurmana,T.L.V. Prasad,"Rambha, Ashwini Bhave, Mithun Chakraborty",Action,,1996,,,
Kalinga,,Jackie Shroff,,,1996,,,
Khamoshi: The Musical,Sanjay Leela Bhansali,"Salman Khan, Manisha Koirala, Nana Patekar, Seema Biswas, Helen","Social, Romance",,1996,Jatin-Lalit,,
Khiladiyon Ka Khiladi,Umesh Mehra,"Rekha, Akshay Kumar, Raveena Tandon",Action,,1996,Anu Malik,,
Khilona,Deepak Pawar,"Aditya Pancholi, Monica Bedi",,,1996,,,
Khoon Ki Pyasi,K.C. Handra,"Rita Bhaduri, Ramesh Goyal, Javed Khan",Horror,,1996,,,
Krishna,S. Deepak,"Sunil Shetty, Karishma Kapoor","Romance, Action",,1996,Anu Malik,,
Laalchee,Raj N. Sippy,"Anil Dhawan, Avtar Gill, Karina Grover, Pran",Drama,,1996,,,
Loafer,David Dhawan,"Anil Kapoor, Juhi Chawla, Farida Jalal, Gulshan Grover",Comedy,,1996,Anand Milind,,
Maachis,Gulzar,"Tabu, Chandrachur Singh, Om Puri","Crime, War",,1996,Vishal Bhardwaj,,
Maahir,Lawrence D'Souza,"Hema Malini, Govinda, Farha Naaz",Family,,1996,,,
Mafia,,"Ishrat Ali, Somy Ali, Ali Asghar",Action,,1996,,,
Majhdhaar,Ismayil Shroff,"Salman Khan, Manisha Koirala",Drama,,1996,Nadeem-Shravan,,
Masoom,Mahesh Kothare,"Tinnu Anand, Sulabha Arya, Arun Bakshi, Ayesha Jhulka",Action,,1996,,,
Megha,Mohanjee Prasad,"Shammi Kapoor, Karishma Kapoor, Rahul Roy",,,1996,,,
Mr. Bechara,K. Bhagyaraj,"Sridevi, Anil Kapoor, Akkineni Nagarjuna, Anupam Kher","Comedy, Drama",,1996,Anand Milind,,
Muqadama,K.C. Bokadia,"Vinod Khanna, Aditya Pancholi, Tanuja, Guddi Maruti",Action,,1996,,,
Muqaddar,T.L.V. Prasad,"Mithun Chakraborty, Moushumi Chatterjee, Ayesha Jhulka, Simran",,,1996,,,
Muthi Bhar Zameen,Tinnu Anand,"Danny Denzongpa, Poonam Dhillon, Kumar Gaurav",Action,,1996,,,
Namak,Kawal Sharma,"Sanjay Dutt, Farah, Fatima Sheikh, Gulshan Grover",Action,,1996,Anu Malik,,
Nirbhay,,"Sadashiv Amrapurkar, Sangeeta Bijlani, Mithun Chakraborty",,,1996,,,
Papa Kehte Hai,Mahesh Bhatt,"Jugal Hansraj, Amin Hajee, Dinesh Hingoo",,,1996,,,
Papi Gudia,Lawrence D'Souza,"Avinash Wadhavan, Karisma Kapoor, Tinnu Anand","Horror, Thriller",,1996,,,
Prem Granth,Rajiv Kapoor,"Rishi Kapoor, Madhuri, Prem Chopra, Shammi Kapoor","Social, Romance",,1996,,,
Raja Aur Rangeeli,K.S. Prakash Rao,Mamta Kulkarni,"Comedy, Romance",,1996,,,
Raja Hindustani,Dharmesh Darshan,"Karisma Kapoor, Aamir Khan, Johnny Lever",Romance,,1996,Nadeem-Shravan,,
Raja Ki Aayegi Baraat,Ashok Gaekwad,"Rani Mukerji, Shadaab Khan",Drama,,1996,Aadesh Shrivastav,,
Rajkumar,Pankuj Parasher,"Naseeruddin Shah, Anil Kapoor, Madhuri Dixit","Drama, Fantasy, Family, Thriller",,1996,,,
Rakshak,Ashok Honda,"Sunil Shetty, Sonali Bendre, Karisma Kapoor",Action,,1996,,,
Ram Aur Shyam,Raju Mawani,"Divya Dutta, Sidhant Salaria","Action, Crime, Drama",,1996,,,
Rangbaaz,Kanti Shah,"Ishrat Ali, Mithun Chakraborty, Jack Gaud",Action,,1996,,,
Return of Jewel Thief,Ashok Tyaagi,"Ashok Kumar, Dev Anand, Dharmendra",Crime,,1996,,,
Saajan Chale Sasural,David Dhawan,"Govinda, Tabu, Karisma Kapoor, Kader Khan","Comedy, Romance",,1996,Nadeem-Shravan,,
Sanshodhan,Govind Nihalani,"Manoj Bajpai, Vanya Joshi, Kishore Kadam",Drama,,1996,,,
Sapoot,Jagdish A. Sharma,"Sunil Shetty, Akshay Kumar, Karishma Kapoor, Sonali Bendre, Kader Khan, Johnny Lever","Romance, Action, Drama",,1996,Anu Malik,,
Sardari Begum,Shyam Benegal,"Kiron Kher, Surekha Sikri, Amrish Puri",Drama,,1996,Vanraj Bhatia,,
Shastra,Sanjay Khanna,"Sunil Shetty, Anjali Jathar, Danny Denzongpa",Action,,1996,Aadesh Srivastava,,
Shikaar,,"Urmila Matondkar, Jackie Shroff",,,1996,,,
Shohrat,Sathish Ranjan,"Mahesh Anand, Aparajita, Asrani",,,1996,,,
Smuggler,Ajay Kashyap,"Dharmendra, Reena Roy",,,1996,,,
Spot Boy,Pasha P. Jung,"Akshay Anand, Babban, Raj Kiran",,,1996,,,
Talaashi,,"Juhi Chawla, Jackie Shroff",,,1996,,,
Tere Mere Sapne,Joy Augustine,"Chandrachur Singh, Arshad Warsi, Priya Gill, Simran, Pran","Romance, Drama",,1996,Viju Shah,,
The Making of the Mahatma,Shyam Benegal,Rajit Kapur,Biography,,1996,Shantanu Moitra,,
The Square Circle,Amol Palekar,"Nirmal Pandey, Sonali Kulkarni, Faiyyaz","Drama, Music, Romance",,1996,,,
Tu Chor Main Sipahi,,"Akshay Kumar, Saif Ali Khan, Tabu","Comedy, Drama",,1996,"Dilip Sen, Sameer Sen",,
"Unicorn, the Garden of the Fruits",,"Yasef Calderón, Romina Barbar, Hukum Singh","Drama, Fantasy",,1996,,,
