Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Aakhir Kyon?,J. Prakash,"Rajesh Khanna, Smita Patil, Rakesh Roshan","Drama, Family",,1985,,,
Aandhi-Toofan,Babbar Subhash,"Shashi Kapoor, Hema Malini, Mithun Chakraborty, Meenakshi, Danny Denzongpa",,,1985,,,
Aar Paar,Shakti Samanta,"Mithun Chakraborty, Mandakini, Rajesh Khanna",,,1985,,,
Adventures of Tarzan,Babbar Subhash,"Hemant Birje, Raja Duggal, Kimi Katkar","Action, Adventure, Romance",,1985,,,
Aghaat,Govind Nihalani,"Om Puri, Gopi, Pankaj Kapur","Drama, Crime",,1985,,,
Aitbaar,Mukul Anand,"Raj Babbar, Dimple Kapadia, Suresh Oberoi, Danny Denzongpa, Sharat Saxena",Thriller,,1985,,,
Alag Alag,Shakti Samanta,"Rajesh Khanna, Shashi Kapoor, Tina Munim","Family, Musical, Romance",,1985,,,
Ameer Aadmi Gharib Aadmi,Amjad Khan,"Zeenat Aman, Rabia Amin",,,1985,,,
Anantyatra,"Jayoo Patwardhan, Nachiket Patwardhan","Vikas Desai, Rohini Hattangadi, Sudhir Joshi",,,1985,,,
Ankahee,Amol Palekar,"Anil Chatterjee, Shreeram Lagoo, Vinod Mehra",,,1985,,,
Anokha Modh,Kamal Chandhok,"Vinay, Prerana Khanna, Vyjayanti Chavan",,,1985,,,
Arjun,,"Sunny Deol, Amar Rajesh, Dimple Kapadia, Raj Kiran",Action,,1985,,,
Aurat Per Ki Juti Nahin Hai,,"Gulshan Grover, Deepti Naval, Marc Zuber",Drama,,1985,,,
Awara Baap,,"Rajesh Khanna, Meenakshi Sheshadri, Madhuri Dixit, Rajan Sippy",,,1985,,,
Ba Ki Yaad Mein,Ketan Mehta,,,,1985,,,
Baadal,,"Shammi Kapoor, Mithun Chakraborty, Poonam Dhillon",,,1985,,,
Babu,A.C. Trilokchander,"Rajesh Khanna, Hema Malini, Mala Sinha, Rati Agnihotri","Drama, Family",,1985,,,
Bahu Ki Awaaz,Shashilal K. Nair,"Vikas Anand, Bharat Bhushan, B.L. Chopra",Drama,,1985,,,
Balidaan,S.A. Chandrashekhar,"Anuradha, Vijay Arora, Asrani","Action, Thriller",,1985,,,
Bandhan Anjana,Prabhat Roy,"Chandrashekhar, Utpal Dutt, Mazhar Khan",,,1985,,,
Bepanaah,Jagdish Sidana,"Shashi Kapoor, Mithun Chakraborty, Poonam Dhillon","Drama, Family",,1985,,,
Bewafai,R. Thayagarajan,"Rajesh Khanna, Rajinikanth, Meenakshi Seshadri, Tina, Padmini Kolhapure, Pran","Crime, Drama, Family, Romance",,1985,,,
Bhago Bhut Aaya,Krishna Naidu,"Ashok Kumar, Aruna Irani, Deven Verma","Fantasy, Action, Adventure",,1985,,,
Bhagwan Shri Krishna,Ram Kumar Bohra,"Ajit Bhalla, Kumud Bole, Manher Desai","Fantasy, Action, Adventure",,1985,,,
Bhavani Junction,Dinesh,"Shashi Kapoor, Shatrughan Sinha, Zeenat Aman, Rati Agnihotri","Action, Crime, Thriller",,1985,,,
Bond 303,,"Jeetendra, Tom Alter, Parveen Babi, Prem Chopra",,,1985,,,
Damul,Prakash Jha,"Annu Kapoor, Sreela Majumdar, Deepti Naval",,,1985,,,
Debshishu,Utpalendu Chakrabarty,"Sadhu Meher, Smita Patil",Drama,,1985,,,
Dekha Pyar Tumhara,Virendra Sharma,"Kamal Hassan, Rati Agnihotri, Deven Verma","Comedy, Drama",,1985,,,
Do Dilon Ki Dastaan,A.C. Triloga Chander,"Sanjay Dutt, Padmini Kolhapure, Shakti Kapoor",Romance,,1985,,,
Durgaa,Shibu Mitra,"Rajesh Khanna, Hema Malini, Pran","Action, Crime",,1985,,,
Ek Chitthi Pyar Bhari,Vijay Sadanah,"Raj Babbar, Reena Roy, Agha",Drama,,1985,,,
Ek Daku Saher Mein,Kalidas,"Ashok Kumar, Pradeep Kumar, Suresh Oberoi",,,1985,,,
Ek Se Bhale Do,S.V. Rajendra Singh,"Rati Agnihotri, Balwant Dullat, Kumar Gaurav","Action, Comedy, Drama, Romance",,1985,,,
Faasle,Yash Chopra,"Farooq Sheikh, Deepti Naval, Sunil Dutt",Romance,,1985,,,
Geraftaar,Prayag Raaj,"Amitabh Bachchan, Madhavi, Kamal Hassan, Poonam Dhillon, Rajnikant","Action, Adventure, Drama, Musical, Family",,1985,,,
Ghar Dwaar,Kalpataru,"Tanuja, Sachin, Raj Kiran",,,1985,,,
Ghulami,J. P. Dutta,"Dharmendra, Mithun Chakraborty, Naseeruddin Shah, Reena Roy, Smita Patil, Anita Raj, Kulbhushan Kharbanda",,,1985,,,
Gokula,Arundhati Devi,,,,1985,,,
Golimar,,,,,1985,,,
Haqeeqat,Rama Rao Tatineni,"Asrani, Raj Babbar, Beena Banerjee",,,1985,,,
Haveli,Keshu Ramsay,"Rakesh Roshan, Marc Zuber, Aaloka","Horror, Crime, Thriller",,1985,,,
Hoshiyar,K. Raghavendra Rao,"Jeetendra, Shatrughan Sinha, Jaya Parada, Meenakshi Seshadri, Asrani, Pran",,,1985,,,
Hum Dono,B.S. Glaad,"Rajesh Khanna, Hema Malini, Reena Roy","Comedy, Musical, Romance, Family",,1985,,,
Hum Naujawan,Dev Anand,"Dev Anand, Bunty Behl, Richa Sharma","Action, Drama, Family",,1985,,,
Insaaf Main Karoonga,Shibu Mitra,"Rajesh Khanna, Padmini Kolhapure, Tina Munim","Crime, Mystery, Thriller",,1985,,,
Jaago,,Kamal Kapoor,,,1985,,,
Jaan Ki Baazi,Ajay Kashyap,"Sanjay Dutt, Anita Raj, Anuradha Patel",Action,,1985,,,
Jaanoo,Jainendra Jain,"Jackie Shroff, Khushboo, Rati Agnihotri",,,1985,,,
Jawaab,Ravi Tandon,"Vikas Anand, Raj Babbar, Abhi Bhattacharya","Romance, Thriller",,1985,,,
Jhoothi,Hrishikesh Mukherjee,"Rekha, Raj Babbar, Amol Palekar",Comedy,,1985,,,
Kabhi Ajnabi The,,"Ramesh Deo, Debashree Roy, Poonam Dhillon","Romance, Sport",,1985,,,
Kala Suraj,Desh Gautam,"Sulakshana Pandit, Rakesh Roshan, Shatrughan Sinha",,,1985,,,
Kali Basti,Sudesh Issar,"Shatrughan Sinha, Reena Roy, Vijayendra Ghatge",,,1985,,,
Karishma Kudrat Kaa,Sunil Hingorani,"Rati Agnihotri, Urmila Bhatt, Mithun Chakraborty",Action,,1985,,,
Karm Yudh,Swaroop Kumar,"Mithun Chakraborty, Anita Raj, Pran, Amrish Puri",,,1985,,,
Khamosh,Vidhu Vinod Chopra,"Shabana Azmi, Amol Palekar, Sudhir Mishra","Mystery, Thriller",,1985,,,
Lallu Ram,Shiv Kumar,"Urmila Bhatt, Vyjayanti Chavan, Gajendra Chouhan","Action, Comedy, Drama",,1985,,,
Lava,,"Raj Babbar, Dimple Kapadia, Asha Parekh","Family, Drama",,1985,,,
Lover Boy,Shomu Mukerji,"Rajiv Kapoor, Meenakshi Sheshadri, Anita Raj",,,1985,,,
Maa Kasam,Shibu Mittra,"Mithun Chakraborty, Divya Rana, Ranjeet, Pran",,,1985,,,
Maha Sangramam,Kodanda Rami Reddy A.,"Jayapradha, Jayasudha, Pradeep Kumar",,,1985,,,
Maha Shaktimaan,Swamy V.S.R.,"Raj Babbar, Meenakshi Sheshadri, Kim",,,1985,,,
Mahaguru,S.S. Ravichandra,"Rajinikanth, Meenakshi Seshadri, Nirupa Roy","Action, Comedy, Crime, Drama",,1985,,,
Mahasati Tulsi,Radhakant,"Rajni Bala, Kalpana Divan, Mohan Gokhale","Adventure, Drama, Fantasy, History",,1985,,,
Main Khiloda Nahin,,"Kaajal Kiran, Jayshree T.",,,1985,,,
Mard,Manmohan Desai,"Amitabh Bachchan, Amrita Singh, Prem Chopra, Helena Luke, Nirupa Roy, Dara Singh",,,1985,,,
Massey Sahib,Pradip Krishen,"Raghuvir Yadav, Barry John, Arundhati Roy",,,1985,,,
Masterji,K. Raghavendra Rao,"Rajesh Khanna, Sridevi, Anita Raj","Comedy, Drama",,1985,,,
Mati Manas,Mani Kaul,,,,1985,,,
Meetha Zehar,Mohinder,"Padmini Kapila, Bharat Kapoor, Deepak Parashar",,,1985,,,
Mehak,Chander Bahl,"Vijayendra Ghatge, Deepak Parashar, Shoma Anand",Family,,1985,,,
Mera Jawab,N. S. Raj Bharath,"Jackie Shroff, Meenakshi Sheshadri, Shakti Kapoor",,,1985,,,
Mera Saathi,K. Raghavendra Rao,"Asrani, Bharat Bhushan, Aruna Irani",Drama,,1985,,,
Meraa Ghar Mere Bachche,Chander Vohra,"Raj Babbar, Smita Patil, Meenakshi Seshadri","Drama, Family",,1985,,,
Meri Jung,Subhash Ghai,"Anil Kapoor, Meenakshi Seshadri, Nutan, Kushboo, Javed Jaffrey, Amrish Puri",,,1985,,,
Misaal,Mirza Brothers,"Naseeruddin Shah, Vijayata Pandit, Shahrukh Mirza",Action,,1985,,,
Mohabbat,Bapu,"Anil Kapoor, Vijayata Pandit, Aruna Irani",Romance,,1985,,,
Mujhe Kasam Hai,,"Kaajal Kiran, Talluri Rameshwari",,,1985,,,
Murde Ki Jaan Khatre Mein,,"Kunal Kapoor, Roma Manik, Mehmood Jr.",,,1985,,,
Nasoor,Ashok Chopra,"Om Puri, Priya Tendulkar, Sadashiv Amrapurkar",Drama,,1985,,,
Oonche Log,Brij,"Rajesh Khanna, Salma Agha, Pradeep Kumar","Drama, Family",,1985,,,
Paapi Sansar,,"Surendra Pal, Sadhana Singh, Nandita Thakur",,,1985,,,
Paisa Yeh Paisa,Sohanlal Kanwar,"Jackie Shroff, Meenakshi Seshadri, Bindu, Gulshan Grover, Amrish Puri","Action, Crime, Drama",,1985,,,
Pataal Bhairavi,K. Bapaiah,"Jeetendra, Jayapradha, Pran","Fantasy, Drama",,1985,,,
Paththar,Deepak Bahry,"Om Puri, Anuradha Patel, Deepika",Crime,,1985,,,
Patthar Dil,Surendera Mohan,"Padmini Kolhapure, Danny Denzongpa, Kader Khan",,,1985,,,
Phaansi Ke Baad,Harmesh Malhotra,"Ajit, Vikas Anand, Bandini",Drama,,1985,,,
Phir Aayee Barsat,Jaiprakashk Vinayak,"Harindranath Chattopadhyay, Saeed Jaffrey, Javed Khan",Romance,,1985,,,
Piya Milan,,"Sachin, Sadhana Singh",,,1985,,,
Pighalta Aasman,Shammi,"Shashi Kapoor, Rakhee Gulzar, Rati Agnihotri","Comedy, Drama, Romance",,1985,,,
Pyaari Bhabhi,K.C. Agarwal,"Lalita Pawar, Kanwaljit Singh",,,1985,,,
Pyar Jhukta Nahin,Vijay Sadanah,"Mithun Chakraborty, Padmini Kolhapure, Danny Denzongpa","Family, Romance",,1985,,,
Pyari Behna,Bapu,"Mithun Chakraborty, Padmini Kolhapure, Tanvi Azmi","Action, Comedy, Drama",,1985,,,
Rahi Badal Gaye,Ravi Tandon,"Rishi Kapoor, Shabana Azmi, Padmini Kolhapure",Romance,,1985,,,
Ram Tere Kitne Naam,P. Madhavan,"Sanjeev Kumar, Rekha, Prem Chopra","Drama, Family",,1985,,,
Ram Teri Ganga Maili,Raj Kapoor,"Rajiv Kapoor, Mandakini, Divya Rana, Shammi Kapoor, Kulbhushan Kharbanda, Sushma Seth",,,1985,,,
Ramkali,Sham Ralhan,"Shatrughan Sinha, Hema Malini, Nirupa Roy",,,1985,,,
Rao Saheb,Vijaya Mehta,"Arvind Gadgil, Chandrakant Gokhale, Vasant Ingle","Comedy, Drama",,1985,,,
Rehguzar,,,,,1985,,,
Rusvai,,"Sanjeev Kumar, Raj Babbar",Musical,,1985,,,
Saagar,Ramesh Sippy,"Rishi Kapoor, Kamal Haasan, Dimple Kapadia, Saeed Jaffrey, Nadira",,,1985,,,
Saaheb,Anil Ganguly,"Anil Kapoor, Amrita Singh, Raakhee, Utpal Dutt, Deven Verma",,,1985,,,
Sajan Tara Sambharna,Abbas-Mastan,,,,1985,,,
Sanjhi,,"Sadashiv Amrapurkar, Naina Behl, Goga Kapoor",Drama,,1985,,,
Sanjog,K. Vishwanath,"Jeetendra, Jayapradha, Vinod Mehra",Romance,,1985,,,
Sarfarosh,,"Asrani, Bharat Bhushan, Bindu, Pran",,,1985,,,
Sautela Pati,B. R. Ishara,"Raj Kiran, Devendra Khandelwal, Asha Sachdev",,,1985,,,
Shiva Ka Insaaf,Raj N. Sippy,"Birbal, Poonam Dhillon, Gulshan Grover",,,1985,,,
Sur Sangam,K. Vishwanath,"Girish Karnad, Jayapradha, Sachin","Comedy, Drama, Musical",,1985,,,
Surkhiyaan (The Headlines),Ashok Tyagi,"Arun Bakshi, Brahm Bhardwaj, Krishan Dhawan","Action, Crime, Drama",,1985,,,
Tawaif,B. R. Chopra,"Ashok Kumar, Rishi Kapoor, Rati Agnihotri","Comedy, Drama, Romance, Family",,1985,,,
Telephone,"Shyam Ramsay, Tulsi Ramsay","Vikas Anand, Parveen Babi, Dr. Satish Chopra",Thriller,,1985,,,
Teri Meherbaniyan,Vijay Reddi,"Jackie Shroff, Poonam Dhillon, Raj Kiran","Action, Crime, Drama, Family",,1985,,,
Teri Pooja Kare Sansaar,Bharat Kapoor,,,,1985,,,
Trikal,Shyam Benegal,"Leela Naidu, Neena Gupta, Anita Kanwar",Drama,,1985,,,
Triveni,Rajan Thakur,"Raj Babbar, Rati Agnihotri, Purnima",,,1985,,,
Ulta Seedha,Subodh Mukerji,"Raj Babbar, Rati Agnihotri, Deven Verma",Comedy,,1985,,,
Uttarayan,Lekh Tandon,,,,1985,,,
Wafadaar,"Narayana Rao Dasari, Pilla Srinivas","Rajinikanth, Padmini Kolhapure, Vijayata Pandit",,,1985,,,
Yaadon Ki Kasam,Vinod Dewan,"Mithun Chakraborty, Zeenat Aman, Shakti Kapoor",Action,,1985,,,
Yaar Kasam,K. Prasad,"Raj Babbar, Zeenat Aman, Anita Raj",,,1985,,,
Yudh,,"Anil Kapoor, Jackie Shroff, Tina Munim, Pran, Hema Malini, Shatrughan Sinha, Danny Denzongpa",,,1985,,,
Zabardast,Nasir Husain,"Sanjeev Kumar, Sunny Deol, Rajiv Kapoor","Action, Drama",,1985,,,
Zamana,Ramesh Talwar,"Rajesh Khanna, Rishi Kapoor, Poonam Dhillon","Action, Crime, Drama, Thriller, Romance",,1985,,,
Zulm Ka Badla,K. Prasad,"Ameeta, Minoo Babbar, Master Bunty","Action, Crime, Drama",,1985,,,
Aadamkhor,Joginder,"Joginder Shelly, Neelam Mehra, Nazneen",,,1986,,,
Aag Aur Shola,K. Bapaiah,"Shoma Anand, Asrani, Bindu",,,1986,,,
Aakhree Raasta,,"Amitabh Bachchan, Sridevi, Jaya Prada, Sadashiv Amrapurkar, Anupam Kher",,,1986,,,
Aap Ke Saath,J. Om Prakash,"Smita Patil, Anil Kapoor, Rati Agnihotri","Drama, Family",,1986,,,
Aashiana,Mahesh Bhatt,"Mark Zubair, Deepti Naval, Soni Razdan",,,1986,,,
Adhikar,"Chitrayug, Vijay Sadanah","Rajesh Khanna, Tina Munim, Zarina Wahab",,,1986,,,
Aisa Pyaar Kahan,Vijay Sadanah,"Jeetendra, Jayapradha, Mithun Chakraborty",,,1986,,,
Albela,,,Romance,,1986,,,
Allah Rakha,Ketan M. Desai,"Jackie Shroff, Shammi Kapoor, Waheeda Rehman, Dimple Kapadia, Meenakshi Seshadri",,,1986,,,
Amma,,,,,1986,,,
Amrit,Mohan Kumar,"Rajesh Khanna, Smita Patil, Aruna Irani","Drama, Family",,1986,,,
Anaadi Anant,Prakash Jha,"Surekha Sikri, Vasant Jasaljar, Suman Kumar",,,1986,,,
Andaz Pyaar Ka,,Neelam,,,1986,,,
Andheri Raat Mein Diya Tere Haath Mein,Dada Kondke,"Dada Kondke, Usha Chavan, Dina Pathak",,,1986,,,
Angaaray,Rajesh Seth,"Rajesh Khanna, Smita Patil, Raj Babbar","Adventure, Crime, Romance",,1986,,,
Ankush,N. Chandra,"Nana Patekar, Rabia Amin, Raja Bundela",Drama,,1986,,,
Anokha Insaan,,"T.P. Jain, Padma Khanna",,,1986,,,
Anokha Rishta,I.V. Sasi,"Rajesh Khanna, Smita Patil, Sabeeha",Drama,,1986,,,
Anubhav,Kashinath,"Shekhar Suman, Padmini Kolhapure, Padma Khanna","Comedy, Drama",,1986,,,
Asli Naqli,Sudershan Nag,"Shatrughan Sinha, Rajnikanth, Anita Raj",,,1986,,,
Avinash,Umesh Mehra,"Mithun Chakraborty, Poonam Dhillon, Bindiya Goswami","Action, Crime, Drama",,1986,,,
Baat Ban Jaye,Bharat Rangachary,"Zeenat Aman, Amol Palekar, Utpal Dutt",,,1986,,,
Babul,Govind Moonis,"Aakash, Brahmachari, Shreechand Makhija",Drama,,1986,,,
Badkaar,,Sadhana Singh,,,1986,,,
Bhagwaan Dada,J. Om Prakash,"Rajnikanth, Rakesh Roshan, Sridevi",,,1986,,,
Bhai Ka Dushman Bhai,Sudesh Issar,"Puneet Issar, Suresh Oberoi, Talluri Rameshwari",,,1986,,,
Car Thief,Sameer Malkan,"Suneil Anand, Vijayata Pandit, Kevin Mukherji",,,1986,,,
Chambal Ka Badshah,S. Dinesh,"Danny Denzongpa, Roma Manik, Raj Kiran",,,1986,,,
Chameli Ki Shaadi,Basu Chatterjee,"Anil Kapoor, Amrita Singh, Om Prakash","Comedy, Drama, Romance",,1986,,,
Chhota Aadmi,Krishnakant,"Naresh Kanodiya, Komal Mahuvakar, Jayshree T.",,,1986,,,
Congregation,Muzaffar Ali,"Shabana Azmi, Farooq Shaikh, Rohini Hattangadi",Drama,,1986,,,
Dahleez,Ravi Chopra,"Jackie Shroff, Raj Babbar, Meenakshi Sheshadri","Drama, Family, Action",,1986,,,
Daku Bijlee,,,,,1986,,,
Dancing City,,,Romance,,1986,,,
Dharm Adhikari,,"Dilip Kumar, Jeetendra, Sridevi, Pran",,,1986,,,
Dilwaala,K. Murali Mohana Rao,"Smita Patil, Mithun Chakraborty, Meenakshi Seshadri, Shakti Kapoor, Dulari, Pran",,,1986,,,
Dosti Dushmani,T. Rama Rao,"Jeetendra, Rishi Kapoor, Bhanupriya, Poonam Dhillon, Pran",,,1986,,,
Durgaa Maa,K.S. Reddy,"Beena Banerjee, Shubha Khote, Raj Kiran",,,1986,,,
Duty,Ravikant Nagaich,"Arun Bakshi, Rakesh Bedi, Govinda",,,1986,,,
Ek Aur Sikander,Bhaskar Shetty,"Rati Agnihotri, Mithun Chakraborty, Amrish Puri",Action,,1986,,,
Ek Chadar Maili Si,Sukhwant Dhadda,"Hema Malini, Rishi Kapoor, Poonam Dhillon",Drama,,1986,,,
Ek Main Aur Ek Tu,Ravi Tandon,"Shashi Kapoor, Rubina, Tanuja",Romance,,1986,,,
Ek Pal,,"Shabana Azmi, Naseeruddin Shah, Farooq Shaikh",Drama,,1986,,,
Ek Ruka Hua Faisla,Basu Chatterjee,"S.M. Zaheer, Deepak Kejriwal, Amitabh Srivastava, Pankaj Kapur, Annu Kapoor",,,1986,,,
Fire,Rajaram Vankudre Shantaram,Padmini Kolhapure,,,1986,,,
Genesis,Mrinal Sen,"Shabana Azmi, Naseeruddin Shah, Om Puri",Drama,,1986,,,
Ghar Sansar,K. Bapaiah,"Jeetendra, Sridevi, Kader Khan","Family, Crime, Drama",,1986,,,
Haathon Ki Lakeeren,,"Sanjeev Kumar, Zeenat Aman, Jackie Shroff","Musical, Drama, Family",,1986,,,
Ilzaam,,"Govinda, Neelam Kothari, Shashi Kapoor, Shatrughan Sinha, Anita Raj, Raj Kiran","Romance, Drama",,1986,,,
Insaaf Ki Awaaz,D. Rama Naidu,"Rekha, Anil Kapoor, Richa Sharma",Action,,1986,,,
Inteqam Ki Aag,,"Kaajal Kiran, Mahendra Sandhu",,,1986,,,
Jaal,Umesh Mehra,"Jeetendra, Rekha, Vinod Mehra","Mystery, Thriller",,1986,,,
Jadu Nagari,K. Shankar,Sridevi,,,1986,,,
Janbaaz,Feroz Khan,"Feroz Khan, Anil Kapoor, Dimple Kapadia, Sridevi, Rekha, Amrish Puri","Action, Drama",,1986,,,
Jeeva,Raj N. Sippy,"Sanjay Dutt, Mandakini, Amjad Khan, Pran","Action, Thriller",,1986,,,
Jumbish: A Movement - The Movie,Salahuddin Parvez,"Padmini Kolhapure, Akbar Khan, Shafi Inamdar",Romance,,1986,,,
Jwala,Sudesh Issar,"Puneet Issar, Goga Kapoor, Kamal Kapoor",,,1986,,,
Kaanch Ki Deewar,M.N. Yasin,"Sanjeev Kumar, Smita Patil, Shakti Kapoor",,,1986,,,
Kahan Kahan Se Guzar,,Anil Kapoor,"Drama, Family",,1986,,,
Kala Dhanda Goray Log,Sanjay Khan,"Sunil Dutt, Sanjay Khan, Akbar Khan, Anita Raj, Amrita Singh","Action, Drama",,1986,,,
Karma,Subhash Ghai,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff, Anil Kapoor, Sridevi, Poonam Dhillon, Shakti Kapoor, Dara Singh, Anupam Kher","Action, Drama",,1986,,,
Karamdaata,Shashilal Nair,"Shammi Kapoor, Mithun Chakraborty, Amrita Singh",,,1986,,,
Khamosh Nigahen,,"Rakesh Roshan, Deepti Naval",,,1986,,,
Khel Mohabbat Ka,Satish Duggal,"Farooq Shaikh, Poonam Dhillon, Shakti Kapoor",Romance,,1986,,,
Kirayadar,Basu Chatterji,"Raj Babbar, Padmini Kolhapure, Utpal Dutt","Comedy, Drama",,1986,,,
Kismatwala,S.D. Narang,"Mithun Chakraborty, Ranjeeta Kaur, Asha Parekh",,,1986,,,
Krishna-Krishna,Chandrakant,"Birbal, Biswajeet, Sudhir Dalvi",,,1986,,,
Love 86,,"Govinda, Rohan Kapoor, Farah, Neelam Kothari, Tanuja, Asrani, Shafi Inamdar",,,1986,,,
Love and God,K. Asif,"Nimmi, Sanjeev Kumar, Jayant, Agha, Pran",,,1986,,,
Maa Ki Saugandh,Mukul Anand,,,,1986,,,
Main Balwaan,Mukul Anand,"Dharmendra, Mithun Chakraborty, Meenakshi Seshadri, Reeta Bhaduri",,,1986,,,
Mangal Dada,,"Sunil Dutt, Reena Roy, Sarika",,,1986,,,
Married Woman,,"Padmini Kolhapure, Jeetendra, Sridevi",,,1986,,,
Mazloom,C.P. Dixit,"Bina Rai, Feroz, Goga Kapoor","Action, Crime, Drama",,1986,,,
Mera Dharam,Bapu,"Jackie Shroff, Amrita Singh, Shakti Kapoor",,,1986,,,
Mera Haque,Ajay Kashyap,"Sanjay Dutt, Anita Raj, Gulshan Grover",,,1986,,,
Mohabbat Ki Kasam,K. Pappu,"Rajesh Khanna, Dharmendra, Anita Raj, Tanuja","Action, Drama",,1986,,,
Muddat,K. Bapaiah,"Mithun Chakraborty, Urmila Bhatt, Jaya Pradha","Action, Crime, Drama, Comedy",,1986,,,
Musafir,Jabbar Patel,"Rekha, Naseeruddin Shah, Moon Moon Sen",Drama,,1986,,,
Naache Mayuri,T. Rama Rao,"Shekhar Suman, Sudha Chandran, Aruna Irani","Drama, Family",,1986,,,
Naam,Mahesh Bhatt,"Sanjay Dutt, Kumar Gaurav, Amrita Singh, Poonam Dhillon, Nutan, Akash Khurana, Paresh Rawal",,,1986,,,
Nagina,Harmesh Malhotra,"Rishi Kapoor, Sridevi, Prem Chopra, Amrish Puri, Jagdeep","Fantasy, Romance",,1986,,,
Nain Mile Chain Kahan,,Kamal Kapoor,,,1986,,,
Naseeb Apna Apna,Rama Rao Tatineni,"Rishi Kapoor, Farha Naaz",,,1986,,,
Nasihat,Aravind Sen,"Rajesh Khanna, Shabana Azmi, Deepti Naval","Drama, Family",,1986,,,
New Delhi Times,,,Drama,,1986,,,
Om,,"Rajesh Khanna, Mandakini",Horror,,1986,,,
Pahunchey Huwe Log,Johnny Walker,"Shafi Inamdar, Rishi Kapoor, Meenakshi Seshadri, Shakti Kapoor",Comedy,,1986,,,
Palay Khan,Ashim S. Samanta,"Jackie Shroff, Poonam Dhillon, Farha Naaz","Action, Thriller",,1986,,,
Panchavati,Basu Bhattacharya,"Akbar Khan, Deepti Naval, Suresh Oberoi",,,1986,,,
Parampara,Prakash Jha,,,,1986,,,
Patton Ki Bazi,Ram Govind,"Rajan Sippy, Khushboo, Swapna",,,1986,,,
Peechha Karro,Pankaj Parashar,"Ravi Baswani, Kalpana Iyer, Amjad Khan","Comedy, Thriller",,1986,,,
Preeti,Saawan Kumar,"Prem Chopra, Rajiv Kapoor, Padmini Kolhapure",Drama,,1986,,,
Pyaar Ka Sindoor,Bapu,"Somayajulu J.V., Jyoti, Anil Kapoor",,,1986,,,
Pyaar Ke Do Pal,Rajiv Mehra,"Mithun Chakraborty, Jayapradha, Simple Kapadia",,,1986,,,
Pyar Ho Gaya,Girish Manukant,"Avinash Wadhavan, Ranjeet Raj, Komal Mahuvakar",Romance,,1986,,,
Pyar Kiya Hai Pyar Karenge,Vijay Reddy,"Anil Kapoor, Padmini Kolhapure, Anita Raj","Drama, Romance",,1986,,,
Qatil Aur Ashiq,Swaroop Kumar,"Shoma Anand, Kalpana Iyer, Kanan Kaushal",,,1986,,,
Qatl,R.K. Nayyar,"Sanjeev Kumar, Ranjeeta Kaur, Shatrughan Sinha","Mystery, Thriller",,1986,,,
Ram Milai Jodi,H.S. Kanwal,"Kalpana Iyer, Lalita Pawar",,,1986,,,
Ricky,Ashok V. Bhushan,"Kunal Goswami, Nutan, Amrish Puri, Pran","Drama, Family",,1986,,,
Suhaagan,Rama Rao Tatineni,"Jeetendra, Rekha, Govinda, Anuradha[citation needed], Pran","Family, Drama, Romance",,1986,,,
Sajna Saath Nibhana,Jwalamukhi,"Dr. Anand, Dharmendra, Satyendra Kapoor",Drama,,1986,,,
Samay Ki Dhaara,Sisir Mishra,"Shatrughan Sinha, Shabana Azmi, Vinod Mehra",Drama,,1986,,,
Samundar,Rahul Rawail,"Sunny Deol, Poonam Dhillon, Anupam Kher","Action, Crime, Drama, Adventure, Thriller",,1986,,,
Sasti Dulhan Mahenga Dulha,Bhappi Sonie,"Mahesh Anand, Arun, Beena Banerjee",Drama,,1986,,,
Shart,Ketan Anand,"Naseeruddin Shah, Shabana Azmi, Kanwaljit Singh","Drama, Mystery, Thriller",,1986,,,
Saveray Wali Gaadi,Bharathi Rajaa,"Sunny Deol, Poonam Dhillon, Prem Chopra",,,1986,,,
Shatru,Pramod Chakravorty,"Rajesh Khanna, Shabana Sadique, Ashok Kumar","Action, Adventure, Crime",,1986,,,
Sheela,Deepak Balraj Vij,"Kulbhushan Kharbanda, Nana Patekar, Anita Kanwar","Adventure, Thriller",,1986,,,
Singhasan,Krishna,"Jeetendra, Jaya Prada, Mandakini",,,1986,,,
Swarag Se Sunder,K. Bappiah,"Jeetendra, Mithun Chakravorty, Padmini Kolhapure, Jaya Prada, Prem Chopra, Kader Khan",,,1986,,,
Swarthi,Radhakant,Shafi Inamdar,,,1986,,,
Swati,Kranthi Kumar,"Shashi Kapoor, Sharmila Tagore, Meenakshi Sheshadri",Drama,,1986,,,
Tahkhana,"Shyam Ramsay, Tulsi Ramsay","Rana Jung Bahadur, Hemant Birje, Deepak","Action, Drama, Horror",,1986,,,
Tan-Badan,Anand,"Govinda, Khushboo, Jyoti Patel",,,1986,,,
Teesra Kinara,Krishnakant,"Raj Babbar, Smita Patil, Anita Raj",Romance,,1986,,,
Teri Aarzoo,Ranjeeta,,,,1986,,,
The Living Corpse,Manmohan Sabir,"Aakash, Birbal, Mohan Choti",,,1986,,,
Trikon Ka Chauta Kon,,"Vijayendra Ghatge, Priyadarshinee, Swaroop Sampat",,,1986,,,
Veer Bhimsen,,"Jayshree Gadkar, Anjana Mumtaz, Dara Singh",,,1986,,,
Vikram Betaal,Shantilal Soni,"Deepika, Manher Desai, Anjana Mumtaz",Fantasy,,1986,,,
