Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
Kaafila,Ammtoje Mann,Sunny Deol,"Action, Patriotic",,2007,,,
Khoya Khoya Chand,Sudhir Mishra,"Shiney Ahuja, Soha Ali Khan","Romance, Drama",,2007,,,
Kya Love Story Hai,Lovely Singh,"Tusshar Kapoor, Ayesha Takia",Romance,,2007,,,
Laaga Chunari Mein Daag,Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Abhishek Bachchan, Konkona Sen Sharma, Kunal Kapoor, Anupam Kher",Drama,,2007,,,
Life in a... Metro,Anurag Basu,"Shilpa Shetty, Sharman Joshi, Konkona Sen Sharma, Shiney Ahuja, Kay Kay Menon, Irrfan Khan, Kangana Ranaut, Dharmendra",Drama,,2007,,,
Life Mein Kabhie Kabhiee,Vikram Bhatt,"Dino Morea, Aftab Shivdasani, Anjori Alagh, Nauheed Cyrusi, Sameer Dattani",Thriller,,2007,,,
Loins of Punjab Presents,Manish Acharya,"Shabana Azmi, Ayesha Dharker, Ajay Naidu","Musical, Drama",,2007,,,
Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Raima Sen, Gul Panag",Thriller,,2007,,,
Marigold,Willard Carroll,"Salman Khan, Ali Larter, Nandana Sen",Romance |,,2007,,,
MP3: Mera Pehla Pehla Pyaar,Robby Grewal,"Ruslaan Mumtaz, Hazel Crowney",Romance,,2007,,,
Mumbai Salsa,Manoj Tyagi,"Vir Das, Linda Arsenio, Manjari Phadnis, Dilip Thadeshwar",,,2007,,,
My Bollywood Bride,Rajeev Virani,"Jason Lewis, Kashmira Shah",Romance,,2007,,,
Namastey London,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor, Upen Patel, Riteish Deshmukh, Javed Sheikh, Clive Standen, Nina Wadia","Romance, Comedy, Drama, Social",,2007,,,
The Namesake,Mira Nair,"Tabu, Irrfan Khan, Kal Penn",Drama,,2007,,,
Nanhe Jaisalmer,Samir Karnik,"Bobby Deol, Dwij Yadav, Katrina Kaif, Sharat Saxena",Drama,,2007,,,
Naqaab,Abbas Mustan,"Bobby Deol, Akshaye Khanna, Urvashi Sharma",Thriller,,2007,,,
Nehlle Pe Dehlla,Ajay Chandhok,"Sanjay Dutt, Saif Ali Khan, Bipasha Basu, Kim Sharma",Comedy,,2007,,,
Nishabd,Ram Gopal Varma,"Amitabh Bachchan, Jiah Khan, Aftab Shivdasani",Drama,,2007,,,
No Smoking,Anurag Kashyap,"JJohn Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey","Drama, Thriller",,2007,,,
Oh My Anand,Angad Keet,"Su Paman, Ramorous Kumar",Comedy,,2007,,,
Om Shanti Om,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Shreyas Talpade, Arjun Rampal, Kiron Kher, Javed Sheikh, Bindu, Yuvika Chaudhary, Satish Shah","Action, Romance, Comedy, Drama",,2007,,,
Partner,David Dhawan,"Salman Khan, Govinda, Lara Dutta, Katrina Kaif, Aarti Chabria, Rajpal Yadav, Dalip Tahil","Comedy, Romance",,2007,,,
Raqeeb,Raj Kanwar,"Rahul Khanna, Jimmy Sheirgill, Sharman Joshi, Tanushree Dutta",Romance,,2007,,,
Red: The Dark Side,Vikram Bhatt,"Aftab Shivdasani, Amrita Arora, Celina Jaitly",Thriller,,2007,,,
Red Swastik,Vinod Pande,"Sherlyn Chopra, Deepshika",Thriller,,2007,,,
Risk,Vishram Sawant,"Vinod Khanna, Randeep Hooda, Tanushree Dutta, Seema Biswas","Action, Drama",,2007,,,
Salaam-e-Ishq: A Tribute to Love,Nikhil Advani,"Salman Khan, Akshaye Khanna, Priyanka Chopra, Anil Kapoor, Ayesha Takia, Juhi Chawla, Vidya Balan, John Abraham, Sohail Khan, Isha Koppikar, Govinda, Shannon Esra",Romance,,2007,,,
Saawariya,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan","Drama, romance",,2007,,,
Sarhad Paar,Raman Kumar,"Sanjay Dutt, Tabu, Mahima Chaudhry, Chandrachur Singh",Patriotic,,2007,,,
Sambar Salsa,Aditya Raj Kapoor,Rishi Kapoor,,,2007,,,
Say Salaam India,Subhash Kapoor,"Sanjay Suri, Sandhya Mridul, Milind Soman",Cricket,,2007,,,
Shakalaka Boom Boom,Suneel Darshan,"Bobby Deol, Upen Patel, Kangana Ranaut, Celina Jaitly","Drama, social, musical, romance",,2007,,,
Shootout at Lokhandwala,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Arbaaz Khan, Vivek Oberoi, Sunil Shetty, Tusshar Kapoor, Abhishek Bachchan, Neha Dhupia, Dia Mirza, Aarti Chabria, Amrita Singh","Action, crime, drama",,2007,,,
Showbiz,Raju Khan,"Tushar Jalota, Mrinalini Sharma",,,2007,,,
Speed,Vikram Bhatt,"Sanjay Suri, Zayed Khan, Urmila Matondkar, Sophie Choudry, Aftab Shivdasani, Tanushree Dutta, Amrita Arora, Aashish Chaudhary",Thriller,,2007,,,
Strangers,Anand Rai,"Jimmy Sheirgill, Kay Kay Menon, Nandana Sen, Sonali Kulkarni",,,2007,,,
Sunglass,Rituparno Ghosh,"Konkona Sen Sharma, R. Madhavan, Raima Sen",,,2007,,,
Swami,Ganesh Acharya,"Manoj Bajpai, Juhi Chawla",Drama,,2007,,,
Ta Ra Rum Pum,Siddharth Anand,"Saif Ali Khan, Rani Mukerji, Javed Jaffrey, Aarti Chabria","Romance, drama, social",,2007,,,
Taare Zameen Par,Aamir Khan,"Aamir Khan, Darsheel Safary, Tisca Chopra",Drama,,2007,,,
Traffic Signal,Madhur Bhandarkar,"Kunal Khemu, Konkona Sen Sharma, Gopal K Singh",Drama,,2007,,,
The Train,"Hasnain Hyderabadwala, Raksha Mistry","Emraan Hashmi, Geeta Basra, Sayali Bhagat",,,2007,,,
Victoria No. 203,Anant Mahadevan,"Om Puri, Anupam Kher, Jimmy Sheirgill, Preeti Jhangiani",Comedy,,2007,,,
Welcome,Anees Bazmee,"Akshay Kumar, Nana Patekar, Anil Kapoor, Katrina Kaif, Mallika Sherawat, Paresh Rawal, Feroz Khan",Comedy,,2007,,,
Yatra,Gautam Ghose,"Rekha, Nana Patekar, Deepti Naval",,,2007,,,
Zamaanat,S. Ramanathan,"Amitabh Bachchan, Arshad Warsi, Karisma Kapoor",Drama,,2007,,,
Humne Jeena Seekh Liya,Milind Ukey,"Siddharth Chandekar, Mrunmayi Deshpande",Comedy,,2008,,JAN,4.0
Rama Rama Kya Hai Dramaa?,S. Chandrakaant,"Rajpal Yadav, Neha Dhupia, Aashish Chaudhary, Amrita Arora, Anupam Kher, Rati Agnihotri, Alan Kapoor",Comedy,,2008,,JAN,4.0
Halla Bol,Rajkumar Santoshi,"Ajay Devgn, Vidya Balan, Pankaj Kapoor",Social,,2008,,JAN,11.0
Bombay to Bangkok,Nagesh Kukunoor,"Shreyas Talpade, Lena Christensen","Comedy, Drama, Romance",,2008,,JAN,18.0
Tulsi,Ajay Kumar,"Irrfan Khan, Manisha Koirala, Arzoo Govitrikar",,,2008,,JAN,18.0
Sunday,Rohit Shetty,"Ajay Devgn, Ayesha Takia, Arshad Warsi, Irrfan Khan, Anjana Sukhani","Action, Comedy",,2008,,JAN,25.0
Superstar,Rohit Jugraj,"Kunal Khemu, Tulip Joshi, Aushima Sawhney, Reema Lagoo, Sharat Saxena",Drama,,2008,,FEB,8.0
Jodhaa Akbar,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Ila Arun","History, Romance",,2008,,FEB,15.0
Black & White,Subhash Ghai,"Anil Kapoor, Anurag Sinha, Shefali Chhaya, Aditi Sharma, Anurag Singh","Social, Drama, History",,2008,,MAR,7.0
Race,Abbas Mustan,"Saif Ali Khan, Akshaye Khanna, Katrina Kaif, Bipasha Basu, Anil Kapoor, Sameera Reddy","Crime, Thriller",,2008,,MAR,21.0
One Two Three,Ashwani Dheer,"Tusshar Kapoor, Paresh Rawal, Suniel Shetty, Esha Deol, Sameera Reddy, Upen Patel, Neetu Chandra, Tanisha","Comedy, Drama",,2008,,MAR,28.0
Shaurya,Samar Khan,"Rahul Bose, Minissha Lamba, Javed Jaffrey, Kay Kay Menon, Amrita Rao",Drama,,2008,,APR,4.0
Krazzy 4,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan, Suresh Menon, Rajpal Yadav, Dia Mirza",Comedy,,2008,,APR,11.0
U Me Aur Hum,Ajay Devgn,"Ajay Devgn, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, Divya Dutta",Romance,,2008,,APR,11.0
Pehli Nazar Ka Pyaar,Arshad Khan,"Arbaaz Ali Khan, Vikas Anand, Rahul, Dinesh Hingoo, Tej Sapru",Romance,,2008,,APR,11.0
Sirf,Rajaatesh Nayar,"Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni","Drama, Romance",,2008,,APR,25.0
Tashan,Vijay Krishna Acharya,"Anil Kapoor, Akshay Kumar, Saif Ali Khan, Kareena Kapoor","action, Romance",,2008,,APR,25.0
Mr. Black Mr. White,Deepak Shivdasani,"Sunil Shetty, Arshad Warsi",Comedy,,2008,,MAY,2.0
Anamika,Anant Mahadevan,"Dino Morea, Minissha Lamba, Koena Mitra, Aarti Chabria, Gulshan Grover",Thriller,,2008,,MAY,2.0
Jimmy,Raj N. Sippy,"Mimoh Chakraborty, Rati Agnihotri, Vikas Anand","Drama, action, Crime, Thriller, Romance",,2008,,MAY,9.0
Bhoothnath,Vivek Sharma,"Amitabh Bachchan, Juhi Chawla, Shahrukh Khan, Aman Siddiqui, Priyanshu Chatterjee, Rajpal Yadav, Satish Shah, Aashish Chaudhary, Nauheed Cyrusi","Comedy, Drama, Fantasy",,2008,,MAY,9.0
Jannat,Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan, Sameer Kochhar, Javed Shaikh","Drama, Romance",,2008,,MAY,16.0
Don Muthu Swami,Ashim Samanta,"Hrishita Bhatt, Mithun Chakraborty, Shakti Kapoor, Rohit Roy",Comedy,,2008,,MAY,23.0
Ghatothkach,Singeetam Srinivasa Rao,,Fantasy,,2008,,MAY,23.0
Woodstock Villa,Hansal Mehta,"Sikandar Kher, Neha Oberoi Arbaaz Khan, Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani, Anupama Verma",Thriller,,2008,,MAY,30.0
Aamir,Rajkumar Gupta,Rajeev Khandelwal,"Drama, Thriller",,2008,,JUN,6.0
Sarkar Raj,Ram Gopal Verma,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Supriya Pathak, Tanisha Mukherjee, Ravi Kale","action, Crime, Drama, Thriller",,2008,,JUN,6.0
Mere Baap Pehle Aap,Priyadarshan,"Akshaye Khanna, Paresh Rawal, Genelia D'Souza, Arzoo Govitrikar, Om Puri, Rajpal Yadav",Comedy,,2008,,JUN,13.0
Summer 2007,Suhail Tatari,"Sikandar Kher, Gul Panag, Neetu Chandra, Susan Brar, Uvika Choudhary",,,2008,,JUN,13.0
De Taali,E. Nivas,"Riteish Deshmukh, Aftab Shivdasani, Ayesha Takia, Rimi Sen, Neha Dhupia","Comedy, Romance",,2008,,JUN,20.0
Haal-e-Dil,Anil Devgan,"Amita Pathak, Nakuul Mehta, Adhyayan Suman","Drama, Romance",,2008,,JUN,20.0
Thoda Pyaar Thoda Magic,Kunal Kohli,"Saif Ali Khan, Rani Mukherji, Amisha Patel, Rishi Kapoor","Drama, Romance, Fantasy",,2008,,JUN,27.0
Thodi Life Thoda Magic,Vinayak Rajesh,"Jackie Shroff, Parmeet Sethi, Paresh Rawal, Arbaaz Khan",Drama,,2008,,JUN,27.0
Via Darjeeling,Arindam Nandy,"Kay Kay Menon, Sonali Kulkarni, Vinay Pathak, Sandhya Mridul, Rajat Kapoor","Drama, Mystery, Thriller",,2008,,JUN,27.0
Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Phadnis, Ayaz Khan, Paresh Rawal",Romance,,2008,,JUL,4.0
Love Story 2050,Harry Baweja,"Priyanka Chopra, Harman Baweja, Boman Irani","Drama, Musical, Romance",,2008,,JUL,4.0
Mehbooba,Afzal Khan,"Manisha Koirala, Ajay Devgn, Sanjay Dutt",Romance,,2008,,JUL,11.0
Kismat Konnection,Aziz Mirza,"Shahid Kapoor, Vidya Balan, Juhi Chawla, Boman Irani, Om Puri","Comedy, Drama, Romance",,2008,,JUL,18.0
Contract,Ram Gopal Varma,"Adhvik Mahajan, Sakshi Gulati, Kishor Kadam, Sumeet Nijhawan","Thriler, Spy",,2008,,JUL,18.0
Mission Istaanbul,Apoorva Lakhia,"Vivek Oberoi, Shriya Saran, Sunil Shetty, Zayed Khan",Adventure,,2008,,JUL,25.0
Money Hai Toh Honey Hai,Ganesh Acharya,"Govinda, Aftab Shivdasani, Upen Patel, Manoj Bajpai, Hansika Motwani, Celina Jaitly, Kim Sharma, Priyanka Sharma","Comedy, Drama, Romance",,2008,,JUL,25.0
Ugly Aur Pagli,Sachin Khot,"Ranvir Shorey, Mallika Sherawat",Comedy,,2008,,AUG,1.0
Good Luck!,"Karan Sharma, Joginder Sharma","Aryeman, Sayali Bhagat, Ranvir Shorey, Lucky Ali, Archana Puran Singh, Mushtaq Khan, Nazneen Patel",,,2008,,AUG,8.0
Singh Is Kinng,Anees Bazmee,"Akshay Kumar, Katrina Kaif, Om Puri, Neha Dhupia, Javed Jaffrey, Kiron Kher, Ranvir Shorey","action, Comedy, Crime, Romance",,2008,,AUG,8.0
Bachna Ae Haseeno,Siddharth Anand,"Ranbir Kapoor, Bipasha Basu, Minissha Lamba, Deepika Padukone, Kunal Kapoor","Comedy, Drama, Romance",,2008,,AUG,15.0
God Tussi Great Ho,Rumi Jaffery,"Sohail Khan, Salman Khan, Priyanka Chopra, Amitabh Bachchan","Comedy, Romance",,2008,,AUG,15.0
Phoonk,Ram Gopal Varma,"Amruta Khanvilkar, Ahsaas Channa, Kenny Desai, Ashwini Kalsekar",Horror,,2008,,AUG,22.0
Mumbai Meri Jaan,Nishikanth Kamath,"Kay Kay Menon, Soha Ali Khan, Paresh Rawal, R. Madhavan",,,2008,,AUG,22.0
Maan Gaye Mughal-e-Azam,Sanjay Chhel,"Rahul Bose, Mallika Sherawat",Comedy,,2008,,AUG,22.0
Rock On!!,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Prachi Desai, Luke Kenny, Purab Kohli, Koel Purie, Shahana Goswami, Nicolette Bird","Drama, Romance, Musical",,2008,,AUG,29.0
C Kkompany,Sachin Yardi,"Tusshar Kapoor, Raima Sen, Rajpal Yadav, Anupam Kher,",Comedy,,2008,,AUG,29.0
Chamku,Kabeer Kaushik,"Priyanka Chopra, Bobby Deol, Danny Denzongpa, Irrfan Khan, Riteish Deshmukh, Rajpal Yadav","Musical, Romance, Thriller",,2008,,AUG,29.0
Mukhbiir,Mani Shankar,"Jackie Shroff, Om Puri, Sunil Shetty, Rahul Dev, Sameer Dattani, Raima Sen, Sushant Singh",Thriller,,2008,,AUG,29.0
A Wednesday!,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Sheirgill","Drama, Thriller",,2008,,SEP,5.0
Tahaan,Santosh Sivan,"Rahul Bose, Sarika, Rahul Khanna, Anupam Kher","Adventure, Drama",,2008,,SEP,5.0
1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma","Horror, Mystery, Romance, Thriller",,2008,,SEP,12.0
The Last Lear,Rituparno Ghosh,"Amitabh Bachchan, Preity Zinta, Arjun Rampal, Divya Dutta, Shefali Shah, Jisshu Sengupta","Biography, Drama",,2008,,SEP,12.0
Welcome to Sajjanpur,Shyam Benegal,"Shreyas Talpade, Amrita Rao","Comedy, Drama",,2008,,SEP,19.0
Saas Bahu Aur Sensex,Shona Urvashi,"Tanushree Dutta, Ankur Khanna, Kiron Kher, Farooq Sheikh",Comedy,,2008,,SEP,19.0
Hari Puttar: A Comedy of Terrors,"Lucky Kohli, Rajesh Bajaj","Sarika, Zain Khan, Sweeny Khara, Saurabh Shukla, Vijay Raaz, Jackie Shroff, Lilette Dubey",Comedy,,2008,,SEP,26.0
Kidnap,Sanjay Gadhvi,"Sanjay Dutt, Imran Khan, Minissha Lamba, Vidya Malvade, Rahul Dev","Crime, Thriller",,2008,,OCT,2.0
Drona,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon, Jaya Bachchan","Superhero, action, Adventure, Fantasy",,2008,,OCT,2.0
Hello,Atul Agnihotri,"Sohail Khan, Sharman Joshi, Amrita Arora, Gul Panag, Isha Koppikar","Drama, Romance",,2008,,OCT,10.0
